dataset,method,generation_time_sec,classifier_time_sec,combined_time_sec,granularity
churn,Q-G-CTGAN,29.299000000000003,1.67,30.969,full_breakdown
credit_default,Q-G-CTGAN,100.604,14.476666666666667,115.08066666666667,full_breakdown
ecoli,Q-G-CTGAN,5.94,0.26999999999999996,6.21,full_breakdown
fraud_detection,Q-G-CTGAN,41.172,14.916666666666666,56.08866666666666,full_breakdown
ibm_attrition,Q-G-CTGAN,51.160000000000004,0.35333333333333333,51.513333333333335,full_breakdown
mammography,Q-G-CTGAN,23.885,2.5833333333333335,26.468333333333334,full_breakdown
pageblocks,Q-G-CTGAN,15.713,0.7066666666666667,16.419666666666664,full_breakdown
pima_diabetes,Q-G-CTGAN,13.389999999999999,0.3833333333333333,13.773333333333332,full_breakdown
protein_homo,Q-G-CTGAN,60.639,10.25,70.88900000000001,full_breakdown
satellite,Q-G-CTGAN,22.14,2.0466666666666664,24.186666666666667,full_breakdown
secom,Q-G-CTGAN,151.01299999999998,0.5366666666666667,151.54966666666664,full_breakdown
thyroid_sick,Q-G-CTGAN,8.885000000000002,0.8833333333333333,9.768333333333334,full_breakdown
unsw_nb15,Q-G-CTGAN,217.35899999999995,41.18666666666667,258.54566666666665,full_breakdown
wine_quality,Q-G-CTGAN,8.524,1.8366666666666667,10.360666666666665,full_breakdown
yeast_me2,Q-G-CTGAN,5.172000000000001,0.4033333333333333,5.575333333333334,full_breakdown
abalone_19,CTGAN_MOS,5.43,1.0799999999999998,6.51,generation_vs_classifier
abalone_19,KMeans_CTGAN,33.0,1.1033333333333333,34.10333333333333,generation_vs_classifier
churn,CTGAN_MOS,9.18,1.46,10.64,generation_vs_classifier
churn,KMeans_CTGAN,28.350000000000005,1.4033333333333333,29.753333333333337,generation_vs_classifier
credit_default,CTGAN_MOS,89.92,13.909999999999998,103.83,generation_vs_classifier
credit_default,KMeans_CTGAN,78.6,14.146666666666668,92.74666666666667,generation_vs_classifier
ecoli,CTGAN_MOS,5.400000000000001,0.2833333333333333,5.6833333333333345,generation_vs_classifier
ecoli,KMeans_CTGAN,5.75,0.22666666666666668,5.976666666666667,generation_vs_classifier
fraud_detection,CTGAN_MOS,112.93,20.25,133.18,generation_vs_classifier
fraud_detection,KMeans_CTGAN,64.32,21.060000000000002,85.38,generation_vs_classifier
ibm_attrition,CTGAN_MOS,17.69,0.37333333333333335,18.063333333333336,generation_vs_classifier
ibm_attrition,KMeans_CTGAN,75.9,0.3666666666666667,76.26666666666667,generation_vs_classifier
mammography,CTGAN_MOS,5.32,2.986666666666667,8.306666666666667,generation_vs_classifier
mammography,KMeans_CTGAN,9.07,4.786666666666666,13.856666666666666,generation_vs_classifier
pageblocks,CTGAN_MOS,8.22,0.7066666666666667,8.926666666666668,generation_vs_classifier
pageblocks,KMeans_CTGAN,20.45,0.6833333333333332,21.133333333333333,generation_vs_classifier
pima_diabetes,CTGAN_MOS,6.599999999999999,0.38999999999999996,6.989999999999998,generation_vs_classifier
pima_diabetes,KMeans_CTGAN,37.61,0.42333333333333334,38.03333333333333,generation_vs_classifier
protein_homo,CTGAN_MOS,92.45,19.833333333333332,112.28333333333333,generation_vs_classifier
protein_homo,KMeans_CTGAN,90.3,20.673333333333332,110.97333333333333,generation_vs_classifier
satellite,CTGAN_MOS,17.43,2.5766666666666667,20.006666666666668,generation_vs_classifier
satellite,KMeans_CTGAN,28.709999999999997,1.6966666666666665,30.406666666666663,generation_vs_classifier
secom,CTGAN_MOS,168.32,0.5366666666666667,168.85666666666665,generation_vs_classifier
secom,KMeans_CTGAN,161.32,0.48666666666666664,161.80666666666667,generation_vs_classifier
thyroid_sick,CTGAN_MOS,20.04,1.04,21.08,generation_vs_classifier
thyroid_sick,KMeans_CTGAN,19.29,0.7333333333333334,20.023333333333333,generation_vs_classifier
unsw_nb15,CTGAN_MOS,311.15,25.630000000000006,336.78,generation_vs_classifier
unsw_nb15,KMeans_CTGAN,545.38,100.93333333333334,646.3133333333333,generation_vs_classifier
wine_quality,CTGAN_MOS,8.38,1.8333333333333333,10.213333333333335,generation_vs_classifier
wine_quality,KMeans_CTGAN,15.14,1.7833333333333334,16.923333333333336,generation_vs_classifier
yeast_me2,CTGAN_MOS,6.79,0.7833333333333333,7.573333333333333,generation_vs_classifier
yeast_me2,KMeans_CTGAN,7.93,0.69,8.62,generation_vs_classifier
abalone_19,ctdGAN,84.54,0.9366666666666666,85.47666666666667,generation_vs_classifier
churn,ctdGAN,114.78000000000002,1.5566666666666666,116.33666666666669,generation_vs_classifier
credit_default,ctdGAN,737.5099999999999,13.589999999999998,751.0999999999999,generation_vs_classifier
ecoli,ctdGAN,6.73,0.28,7.010000000000001,generation_vs_classifier
fraud_detection,ctdGAN,7663.98,25.286666666666665,7689.266666666666,generation_vs_classifier
ibm_attrition,ctdGAN,43.45000000000001,0.36000000000000004,43.81000000000001,generation_vs_classifier
mammography,ctdGAN,234.71,4.916666666666667,239.62666666666667,generation_vs_classifier
pageblocks,ctdGAN,117.84999999999998,0.69,118.53999999999998,generation_vs_classifier
pima_diabetes,ctdGAN,21.959999999999997,0.4033333333333333,22.36333333333333,generation_vs_classifier
protein_homo,ctdGAN,5988.0,24.13,6012.13,generation_vs_classifier
satellite,ctdGAN,176.26,1.96,178.22,generation_vs_classifier
secom,ctdGAN,232.16,0.5299999999999999,232.69,generation_vs_classifier
thyroid_sick,ctdGAN,116.16000000000001,0.9533333333333335,117.11333333333334,generation_vs_classifier
unsw_nb15,ctdGAN,12481.75,379.2933333333333,12861.043333333333,generation_vs_classifier
wine_quality,ctdGAN,102.14,1.7766666666666666,103.91666666666667,generation_vs_classifier
yeast_me2,ctdGAN,29.58,0.5733333333333334,30.153333333333332,generation_vs_classifier
abalone_19,CTAB-GAN+,71.71,0.7966666666666667,72.50666666666666,generation_vs_classifier
churn,CTAB-GAN+,245.23,1.8866666666666667,247.11666666666665,generation_vs_classifier
credit_default,CTAB-GAN+,1631.6899999999998,15.65,1647.34,generation_vs_classifier
ibm_attrition,CTAB-GAN+,50.830000000000005,0.3666666666666667,51.19666666666667,generation_vs_classifier
mammography,CTAB-GAN+,212.67,1.8433333333333335,214.51333333333332,generation_vs_classifier
pageblocks,CTAB-GAN+,107.37,0.7533333333333334,108.12333333333333,generation_vs_classifier
pima_diabetes,CTAB-GAN+,21.649999999999995,0.41,22.059999999999995,generation_vs_classifier
satellite,CTAB-GAN+,349.81,2.81,352.62,generation_vs_classifier
secom,CTAB-GAN+,485.3999999999999,0.5466666666666667,485.9466666666666,generation_vs_classifier
thyroid_sick,CTAB-GAN+,202.43999999999997,0.7666666666666666,203.20666666666665,generation_vs_classifier
wine_quality,CTAB-GAN+,90.34999999999998,2.29,92.63999999999999,generation_vs_classifier
yeast_me2,CTAB-GAN+,17.8,0.38000000000000006,18.18,generation_vs_classifier
fraud_detection,CTAB-GAN+,,,152280.0,projected
protein_homo,CTAB-GAN+,,,77940.0,projected
unsw_nb15,CTAB-GAN+,,,93744.0,projected
