dataset,method,classifier,generation_time,train_time,n_synthetic,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc
yeast_me2,CTGAN_MOS,MLP,6.79,2.02,966,0.8277,0.1484,0.6213,0.5964,0.6745,0.6161,0.6745
mammography,KMeans_CTGAN,RF,9.07,0.36,7464,0.9417,0.6299,0.7842,0.7791,0.7895,0.7638,0.7895
mammography,KMeans_CTGAN,LGBM,9.07,0.08,7464,0.9473,0.7006,0.8079,0.8006,0.8156,0.7967,0.8156
mammography,KMeans_CTGAN,MLP,9.07,13.92,7464,0.9589,0.6907,0.8167,0.8008,0.8346,0.82,0.8346
mammography,CTGAN_MOS,RF,5.32,0.38,7464,0.9404,0.5623,0.7039,0.6577,0.7985,0.7802,0.7985
mammography,CTGAN_MOS,LGBM,5.32,0.09,7464,0.9533,0.6626,0.8132,0.8384,0.7917,0.7655,0.7917
mammography,CTGAN_MOS,MLP,5.32,8.49,7464,0.9598,0.6323,0.7544,0.6954,0.8768,0.8717,0.8768
abalone_19,KMeans_CTGAN,RF,33.0,0.32,2879,0.7261,0.0172,0.498,0.496,0.5,0.0,0.5
abalone_19,KMeans_CTGAN,LGBM,33.0,0.08,2879,0.7599,0.0424,0.498,0.496,0.5,0.0,0.5
abalone_19,KMeans_CTGAN,MLP,33.0,2.91,2879,0.7578,0.0293,0.5306,0.5225,0.6275,0.5353,0.6275
abalone_19,CTGAN_MOS,RF,5.43,0.32,2879,0.7313,0.0246,0.498,0.496,0.5,0.0,0.5
abalone_19,CTGAN_MOS,LGBM,5.43,0.08,2879,0.693,0.0282,0.498,0.496,0.5,0.0,0.5
abalone_19,CTGAN_MOS,MLP,5.43,2.84,2879,0.8218,0.0331,0.4966,0.496,0.4972,0.0,0.4972
wine_quality,KMeans_CTGAN,RF,15.14,0.32,3172,0.8348,0.1921,0.6231,0.6438,0.6083,0.4813,0.6083
wine_quality,KMeans_CTGAN,LGBM,15.14,0.08,3172,0.8701,0.2397,0.6134,0.6514,0.5922,0.4437,0.5922
wine_quality,KMeans_CTGAN,MLP,15.14,4.95,3172,0.8189,0.2673,0.617,0.6297,0.6069,0.4806,0.6069
wine_quality,CTGAN_MOS,RF,8.38,0.34,3172,0.8449,0.2384,0.654,0.6568,0.6513,0.565,0.6513
wine_quality,CTGAN_MOS,LGBM,8.38,0.08,3172,0.8678,0.2204,0.608,0.6213,0.5978,0.4618,0.5978
wine_quality,CTGAN_MOS,MLP,8.38,5.08,3172,0.793,0.2474,0.6807,0.6526,0.7257,0.6866,0.7257
ecoli,KMeans_CTGAN,RF,5.75,0.2,94,0.9828,0.8896,0.8671,0.8835,0.8525,0.8433,0.8525
ecoli,KMeans_CTGAN,LGBM,5.75,0.04,94,0.9626,0.8145,0.8671,0.8835,0.8525,0.8433,0.8525
ecoli,KMeans_CTGAN,MLP,5.75,0.44,94,0.9475,0.7545,0.8581,0.8348,0.8869,0.8842,0.8869
ecoli,CTGAN_MOS,RF,5.4,0.21,187,0.9859,0.9119,0.8671,0.8835,0.8525,0.8433,0.8525
ecoli,CTGAN_MOS,LGBM,5.4,0.05,187,0.9657,0.8375,0.8335,0.8671,0.8071,0.7888,0.8071
ecoli,CTGAN_MOS,MLP,5.4,0.59,187,0.9313,0.6688,0.7927,0.7528,0.8646,0.8634,0.8646
pageblocks,KMeans_CTGAN,RF,20.45,0.28,3791,0.9963,0.5315,0.7558,0.6739,0.9954,0.9954,0.9954
pageblocks,KMeans_CTGAN,LGBM,20.45,0.08,3791,0.9969,0.5863,0.7645,0.6818,0.9957,0.9957,0.9957
pageblocks,KMeans_CTGAN,MLP,20.45,1.69,3791,0.9963,0.5485,0.7901,0.7184,0.9347,0.9328,0.9347
pageblocks,CTGAN_MOS,RF,8.22,0.33,3791,0.9963,0.4031,0.8321,0.75,0.9976,0.9975,0.9976
pageblocks,CTGAN_MOS,LGBM,8.22,0.07,3791,0.9977,0.6501,0.8062,0.7222,0.9969,0.9969,0.9969
pageblocks,CTGAN_MOS,MLP,8.22,1.72,3791,0.9971,0.603,0.803,0.733,0.9351,0.9331,0.9351
protein_homo,KMeans_CTGAN,RF,90.3,13.89,100211,0.9789,0.8199,0.9045,0.9667,0.8571,0.8452,0.8571
protein_homo,KMeans_CTGAN,LGBM,90.3,0.87,100211,0.9912,0.8691,0.9122,0.9416,0.8864,0.8793,0.8864
protein_homo,KMeans_CTGAN,MLP,90.3,47.26,100211,0.995,0.901,0.9303,0.9548,0.9084,0.9038,0.9084
protein_homo,CTGAN_MOS,RF,92.45,14.48,100211,0.9737,0.8046,0.9001,0.9661,0.8507,0.8376,0.8507
protein_homo,CTGAN_MOS,LGBM,92.45,0.93,100211,0.9902,0.8604,0.892,0.9206,0.867,0.8569,0.867
protein_homo,CTGAN_MOS,MLP,92.45,44.09,100211,0.9945,0.9076,0.9316,0.9515,0.9135,0.9095,0.9135
satellite,KMeans_CTGAN,RF,28.71,0.4,3625,0.9425,0.6774,0.7814,0.769,0.7956,0.7806,0.7956
satellite,KMeans_CTGAN,LGBM,28.71,0.11,3625,0.9518,0.7283,0.8059,0.8136,0.7986,0.7808,0.7986
satellite,KMeans_CTGAN,MLP,28.71,4.58,3625,0.953,0.7578,0.8315,0.8339,0.8291,0.8173,0.8291
satellite,CTGAN_MOS,RF,17.43,0.39,3625,0.9483,0.7124,0.7924,0.8316,0.7633,0.7332,0.7633
satellite,CTGAN_MOS,LGBM,17.43,0.1,3625,0.9504,0.7428,0.8121,0.854,0.7811,0.7555,0.7811
satellite,CTGAN_MOS,MLP,17.43,7.24,3625,0.9536,0.7391,0.8215,0.8231,0.82,0.8068,0.82
churn,KMeans_CTGAN,RF,28.35,0.33,2510,0.9218,0.8598,0.8655,0.947,0.8157,0.7958,0.8157
churn,KMeans_CTGAN,LGBM,28.35,0.08,2510,0.9291,0.8921,0.9095,0.9472,0.8798,0.8728,0.8798
churn,KMeans_CTGAN,MLP,28.35,3.8,2510,0.9132,0.8072,0.8495,0.884,0.8229,0.8085,0.8229
churn,CTGAN_MOS,RF,9.18,0.32,2510,0.927,0.8671,0.8502,0.9495,0.7952,0.7694,0.7952
churn,CTGAN_MOS,LGBM,9.18,0.08,2510,0.9261,0.8928,0.9188,0.9547,0.89,0.8841,0.89
churn,CTGAN_MOS,MLP,9.18,3.98,2510,0.9116,0.803,0.8456,0.8733,0.8233,0.8097,0.8233
secom,KMeans_CTGAN,RF,161.32,0.32,475,0.79,0.2298,0.483,0.4671,0.5,0.0,0.5
secom,KMeans_CTGAN,LGBM,161.32,0.47,475,0.8177,0.2737,0.483,0.4671,0.5,0.0,0.5
secom,KMeans_CTGAN,MLP,161.32,0.67,475,0.693,0.1647,0.509,0.5678,0.5116,0.1788,0.5116
secom,CTGAN_MOS,RF,168.32,0.32,950,0.7722,0.178,0.483,0.4671,0.5,0.0,0.5
secom,CTGAN_MOS,LGBM,168.32,0.5,950,0.7774,0.1909,0.4813,0.4669,0.4966,0.0,0.4966
secom,CTGAN_MOS,MLP,168.32,0.79,950,0.6604,0.1363,0.53,0.5797,0.5243,0.252,0.5243
thyroid_sick,KMeans_CTGAN,RF,19.29,0.27,1158,0.9949,0.9349,0.9348,0.9319,0.9378,0.9363,0.9378
thyroid_sick,KMeans_CTGAN,LGBM,19.29,0.1,1158,0.9979,0.9671,0.9454,0.9217,0.9726,0.9725,0.9726
thyroid_sick,KMeans_CTGAN,MLP,19.29,1.83,1158,0.9729,0.8007,0.8694,0.8578,0.8819,0.8763,0.8819
thyroid_sick,CTGAN_MOS,RF,20.04,0.29,2316,0.9925,0.9276,0.8839,0.9347,0.845,0.8317,0.845
thyroid_sick,CTGAN_MOS,LGBM,20.04,0.08,2316,0.9978,0.9622,0.9391,0.9333,0.945,0.9439,0.945
thyroid_sick,CTGAN_MOS,MLP,20.04,2.75,2316,0.9747,0.8089,0.8659,0.8634,0.8683,0.8607,0.8683
unsw_nb15,KMeans_CTGAN,RF,545.38,10.07,120294,0.9038,0.1375,0.4975,0.495,0.5,0.0,0.5
unsw_nb15,KMeans_CTGAN,LGBM,545.38,2.62,120294,0.9254,0.1668,0.5823,0.9409,0.5467,0.3058,0.5467
unsw_nb15,KMeans_CTGAN,MLP,545.38,290.11,120294,0.8997,0.0639,0.5255,0.6028,0.5156,0.18,0.5156
unsw_nb15,CTGAN_MOS,RF,311.15,9.64,120294,0.9046,0.1379,0.4975,0.495,0.5,0.0,0.5
unsw_nb15,CTGAN_MOS,LGBM,311.15,2.57,120294,0.9256,0.1724,0.5812,0.9661,0.5458,0.3027,0.5458
unsw_nb15,CTGAN_MOS,MLP,311.15,64.68,120294,0.8918,0.1053,0.5358,0.9152,0.52,0.2002,0.52
