dataset,method,classifier,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc,generation_time,train_time,method_group,root_larger,root_smaller,minority_class_recall,majority_class_recall
ibm_attrition,Q-G-CTGAN,LGBM,0.7642,0.4435,0.6235,0.7414,0.5992,0.4683,0.5992,51.16000000000001,0.09,proposed,0.973012452976088,0.225387547023912,0.225387547023912,0.973012452976088
ibm_attrition,Q-G-CTGAN,MLP,0.7117,0.4064,0.6478,0.6515,0.6445,0.594,0.6445,51.16000000000001,0.72,proposed,0.8945884843410427,0.39441151565895727,0.39441151565895727,0.8945884843410427
yeast_me2,Q-G-CTGAN,RF,0.9216,0.2923,0.5503,0.7342,0.5322,0.2579,0.5322,5.172000000000001,0.22,proposed,0.9977367117639595,0.06666328823604045,0.06666328823604045,0.9977367117639595
yeast_me2,Q-G-CTGAN,LGBM,0.895,0.3043,0.5967,0.7353,0.5643,0.3643,0.5643,5.172000000000001,0.06,proposed,0.99525243357011,0.1333475664298901,0.1333475664298901,0.99525243357011
yeast_me2,Q-G-CTGAN,MLP,0.875,0.1431,0.5663,0.5573,0.7304,0.7187,0.7304,5.172000000000001,0.93,proposed,0.8606093314628412,0.6001906685371589,0.6001906685371589,0.8606093314628412
mammography,Q-G-CTGAN,RF,0.9565,0.7357,0.8138,0.7728,0.8709,0.8633,0.8709,23.885,0.37,proposed,0.9857038326886352,0.7560961673113649,0.7560961673113649,0.9857038326886352
mammography,Q-G-CTGAN,LGBM,0.9504,0.7555,0.8308,0.7981,0.8723,0.8645,0.8723,23.885,0.09,proposed,0.9886917522851162,0.7559082477148837,0.7559082477148837,0.9886917522851162
mammography,Q-G-CTGAN,MLP,0.9627,0.7628,0.8,0.7421,0.9,0.8965,0.9,23.885,7.29,proposed,0.9792953340367525,0.8207046659632475,0.8207046659632475,0.9792953340367525
abalone_19,Q-G-CTGAN,RF,0.78,0.0257,0.498,0.496,0.5,0.0,0.5,15.578,0.25,proposed,1.0,0.0,0.0,1.0
abalone_19,Q-G-CTGAN,LGBM,0.6982,0.0532,0.498,0.496,0.5,0.0,0.5,15.578,0.07,proposed,1.0,0.0,0.0,1.0
abalone_19,Q-G-CTGAN,MLP,0.766,0.027,0.5264,0.5202,0.542,0.3137,0.542,15.578,1.88,proposed,0.9839913008193715,0.10000869918062866,0.10000869918062866,0.9839913008193715
wine_quality,Q-G-CTGAN,RF,0.8706,0.2433,0.5914,0.6246,0.5737,0.4012,0.5737,8.524,0.27,proposed,0.9837856617829986,0.16361433821700133,0.16361433821700133,0.9837856617829986
wine_quality,Q-G-CTGAN,LGBM,0.8849,0.2441,0.615,0.6566,0.5926,0.4439,0.5926,8.524,0.08,proposed,0.9851908175186985,0.20000918248130156,0.20000918248130156,0.9851908175186985
wine_quality,Q-G-CTGAN,MLP,0.8219,0.3636,0.7233,0.7391,0.7097,0.655,0.7097,8.524,5.16,proposed,0.9829198565258388,0.43648014347416125,0.43648014347416125,0.9829198565258388
ecoli,Q-G-CTGAN,RF,0.9838,0.8978,0.889,0.9281,0.8581,0.8481,0.8581,5.94,0.18,proposed,0.9887215908646041,0.7274784091353959,0.7274784091353959,0.9887215908646041
ecoli,Q-G-CTGAN,LGBM,0.9768,0.87,0.8335,0.8671,0.8071,0.7888,0.8071,5.94,0.03,proposed,0.9779946166501456,0.6362053833498544,0.6362053833498544,0.9779946166501456
ecoli,Q-G-CTGAN,MLP,0.9253,0.6423,0.7904,0.7438,0.899,0.8989,0.899,5.94,0.6,proposed,0.9124085793430927,0.8855914206569073,0.8855914206569073,0.9124085793430927
pageblocks,Q-G-CTGAN,RF,0.9982,0.6659,0.7558,0.6739,0.9954,0.9954,0.9954,15.713,0.25,proposed,0.9954,0.9954,0.9954,0.9954
pageblocks,Q-G-CTGAN,LGBM,0.9989,0.8053,0.7739,0.6905,0.996,0.996,0.996,15.713,0.07,proposed,0.996,0.996,0.996,0.996
pageblocks,Q-G-CTGAN,MLP,0.9969,0.578,0.8186,0.7353,0.9972,0.9972,0.9972,15.713,1.8,proposed,0.9972,0.9972,0.9972,0.9972
protein_homo,Q-G-CTGAN,RF,0.9834,0.8374,0.9139,0.968,0.8712,0.8617,0.8712,60.639,7.57,proposed,0.9995064690496931,0.7428935309503069,0.7428935309503069,0.9995064690496931
protein_homo,Q-G-CTGAN,LGBM,0.9947,0.885,0.9127,0.9244,0.9017,0.8964,0.9017,60.639,0.67,proposed,0.9993213603674929,0.804078639632507,0.804078639632507,0.9993213603674929
protein_homo,Q-G-CTGAN,MLP,0.9949,0.8868,0.9172,0.9338,0.9018,0.8965,0.9018,60.639,22.51,proposed,0.9994267893562014,0.8041732106437987,0.8041732106437987,0.9994267893562014
satellite,Q-G-CTGAN,RF,0.9437,0.6729,0.7651,0.7865,0.7475,0.715,0.7475,22.14,0.4,proposed,0.9655166278062298,0.5294833721937703,0.5294833721937703,0.9655166278062298
satellite,Q-G-CTGAN,LGBM,0.9527,0.7046,0.7935,0.827,0.7678,0.7396,0.7678,22.14,0.11,proposed,0.9739763322983508,0.5616236677016493,0.5616236677016493,0.9739763322983508
satellite,Q-G-CTGAN,MLP,0.9561,0.7401,0.8194,0.8194,0.8194,0.8064,0.8194,22.14,5.63,proposed,0.9647801912228762,0.6740198087771239,0.6740198087771239,0.9647801912228762
churn,Q-G-CTGAN,RF,0.9245,0.8745,0.8732,0.9582,0.8216,0.8026,0.8216,29.299000000000003,0.31,proposed,0.9972695761934889,0.6459304238065111,0.6459304238065111,0.9972695761934889
churn,Q-G-CTGAN,LGBM,0.9316,0.8951,0.9151,0.9559,0.8833,0.8765,0.8833,29.299000000000003,0.08,proposed,0.9926921386572186,0.7739078613427813,0.7739078613427813,0.9926921386572186
churn,Q-G-CTGAN,MLP,0.9038,0.7948,0.8506,0.8681,0.8355,0.8249,0.8355,29.299000000000003,4.62,proposed,0.9681658961451667,0.7028341038548334,0.7028341038548334,0.9681658961451667
secom,Q-G-CTGAN,RF,0.7696,0.2035,0.483,0.4671,0.5,0.0,0.5,151.01299999999998,0.32,proposed,1.0,0.0,0.0,1.0
secom,Q-G-CTGAN,LGBM,0.8005,0.2387,0.483,0.4671,0.5,0.0,0.5,151.01299999999998,0.5,proposed,1.0,0.0,0.0,1.0
secom,Q-G-CTGAN,MLP,0.6386,0.1463,0.5265,0.5594,0.522,0.2514,0.522,151.01299999999998,0.79,proposed,0.979473540218448,0.06452645978155197,0.06452645978155197,0.979473540218448
thyroid_sick,Q-G-CTGAN,RF,0.9943,0.9422,0.9172,0.9506,0.889,0.8826,0.889,8.885000000000002,0.26,proposed,0.9954811720446387,0.7825188279553613,0.7825188279553613,0.9954811720446387
thyroid_sick,Q-G-CTGAN,LGBM,0.998,0.97,0.946,0.946,0.946,0.9448,0.946,8.885000000000002,0.09,proposed,0.9936336015854352,0.8983663984145647,0.8983663984145647,0.9936336015854352
thyroid_sick,Q-G-CTGAN,MLP,0.9737,0.7948,0.8592,0.8642,0.8543,0.8444,0.8543,8.885000000000002,2.3,proposed,0.9839808775417557,0.7246191224582442,0.7246191224582442,0.9839808775417557
unsw_nb15,Q-G-CTGAN,RF,0.9052,0.1321,0.4975,0.495,0.5,0.0,0.5,217.35899999999995,6.02,proposed,1.0,0.0,0.0,1.0
unsw_nb15,Q-G-CTGAN,LGBM,0.9233,0.1659,0.5881,0.9229,0.5505,0.318,0.5505,217.35899999999995,2.39,proposed,0.9998620477966513,0.10113795220334865,0.10113795220334865,0.9998620477966513
unsw_nb15,Q-G-CTGAN,MLP,0.8938,0.0921,0.5553,0.7114,0.533,0.2583,0.533,217.35899999999995,115.15,proposed,0.9992296751602155,0.06677032483978451,0.06677032483978451,0.9992296751602155
credit_default,KMeans_CTGAN,RF,0.7609,0.5409,0.6791,0.7431,0.6558,0.5899,0.6558,78.6,0.7,new_generative,0.9423163695149026,0.36928363048509755,0.36928363048509755,0.9423163695149026
credit_default,KMeans_CTGAN,LGBM,0.7811,0.5456,0.6793,0.7522,0.6547,0.5852,0.6547,78.6,0.14,new_generative,0.9482524654980773,0.36114753450192266,0.36114753450192266,0.9482524654980773
credit_default,KMeans_CTGAN,MLP,0.6799,0.3657,0.6073,0.6229,0.5996,0.532,0.5996,78.6,41.6,new_generative,0.8761793918570218,0.3230206081429783,0.3230206081429783,0.8761793918570218
credit_default,CTGAN_MOS,RF,0.7659,0.5436,0.6784,0.7442,0.6549,0.5878,0.6549,89.92,0.68,new_generative,0.943664904377246,0.366135095622754,0.366135095622754,0.943664904377246
credit_default,CTGAN_MOS,LGBM,0.781,0.5519,0.679,0.7525,0.6544,0.5845,0.6544,89.92,0.14,new_generative,0.9486772672158009,0.36012273278419904,0.36012273278419904,0.9486772672158009
credit_default,CTGAN_MOS,MLP,0.6947,0.3917,0.6227,0.6472,0.612,0.5429,0.612,89.92,40.91,new_generative,0.8944952919961675,0.3295047080038325,0.3295047080038325,0.8944952919961675
fraud_detection,KMeans_CTGAN,RF,0.9579,0.8019,0.8992,0.8902,0.9086,0.904,0.9086,64.32,24.67,new_generative,0.9999124306981249,0.8172875693018751,0.8172875693018751,0.9999124306981249
fraud_detection,KMeans_CTGAN,LGBM,0.951,0.8026,0.8885,0.8822,0.8951,0.8889,0.8951,64.32,0.67,new_generative,1.0002703380236075,0.7899296619763925,0.7899296619763925,1.0002703380236075
fraud_detection,KMeans_CTGAN,MLP,0.963,0.8148,0.9055,0.9284,0.885,0.8776,0.885,64.32,37.84,new_generative,0.9992070050390957,0.7707929949609044,0.7707929949609044,0.9992070050390957
fraud_detection,CTGAN_MOS,RF,0.9542,0.7693,0.8857,0.8831,0.8883,0.8813,0.8883,112.93,28.14,new_generative,0.9995977987203697,0.7770022012796303,0.7770022012796303,0.9995977987203697
fraud_detection,CTGAN_MOS,LGBM,0.9544,0.7113,0.8862,0.8717,0.9018,0.8965,0.9018,112.93,0.66,new_generative,0.9994267893562014,0.8041732106437987,0.8041732106437987,0.9994267893562014
fraud_detection,CTGAN_MOS,MLP,0.9617,0.7891,0.8992,0.8965,0.9018,0.8965,0.9018,112.93,31.95,new_generative,0.9994267893562014,0.8041732106437987,0.8041732106437987,0.9994267893562014
pima_diabetes,KMeans_CTGAN,RF,0.8159,0.7174,0.7057,0.7093,0.703,0.6942,0.703,37.61,0.29,new_generative,0.8138844443553734,0.5921155556446265,0.5921155556446265,0.8138844443553734
pima_diabetes,KMeans_CTGAN,LGBM,0.8061,0.6694,0.6979,0.6998,0.6963,0.6885,0.6963,37.61,0.06,new_generative,0.8002299764264384,0.5923700235735616,0.5923700235735616,0.8002299764264384
pima_diabetes,KMeans_CTGAN,MLP,0.7826,0.6387,0.6743,0.6717,0.6786,0.6759,0.6786,37.61,0.92,new_generative,0.7390743747383969,0.6181256252616031,0.6181256252616031,0.7390743747383969
pima_diabetes,CTGAN_MOS,RF,0.8048,0.6696,0.7057,0.7093,0.703,0.6942,0.703,6.6,0.22,new_generative,0.8138844443553734,0.5921155556446265,0.5921155556446265,0.8138844443553734
pima_diabetes,CTGAN_MOS,LGBM,0.8083,0.6666,0.7097,0.7142,0.7063,0.6971,0.7063,6.6,0.06,new_generative,0.8199278134965204,0.5926721865034796,0.5926721865034796,0.8199278134965204
pima_diabetes,CTGAN_MOS,MLP,0.7244,0.6011,0.6497,0.6475,0.6558,0.6538,0.6558,6.6,0.89,new_generative,0.7069781203249987,0.6046218796750014,0.6046218796750014,0.7069781203249987
ibm_attrition,KMeans_CTGAN,RF,0.779,0.3984,0.5545,0.6634,0.5499,0.3512,0.5499,75.9,0.24,new_generative,0.9730413120932534,0.12675868790674671,0.12675868790674671,0.9730413120932534
ibm_attrition,KMeans_CTGAN,LGBM,0.7616,0.4422,0.6166,0.7454,0.5935,0.454,0.5935,75.9,0.09,new_generative,0.975764633467445,0.2112353665325551,0.2112353665325551,0.975764633467445
ibm_attrition,KMeans_CTGAN,MLP,0.7402,0.4396,0.6867,0.7051,0.6734,0.6249,0.6734,75.9,0.77,new_generative,0.9243333576868568,0.42246664231314324,0.42246664231314324,0.9243333576868568
ibm_attrition,CTGAN_MOS,RF,0.7805,0.4008,0.5439,0.6478,0.5428,0.3311,0.5428,17.69,0.27,new_generative,0.9729216455841299,0.11267835441586999,0.11267835441586999,0.9729216455841299
ibm_attrition,CTGAN_MOS,LGBM,0.7609,0.4304,0.6166,0.7454,0.5935,0.454,0.5935,17.69,0.09,new_generative,0.975764633467445,0.2112353665325551,0.2112353665325551,0.975764633467445
ibm_attrition,CTGAN_MOS,MLP,0.7181,0.4027,0.6262,0.6311,0.622,0.5604,0.622,17.69,0.76,new_generative,0.8918811590311557,0.3521188409688442,0.3521188409688442,0.8918811590311557
yeast_me2,KMeans_CTGAN,RF,0.9203,0.2868,0.697,0.7039,0.6907,0.6266,0.6907,7.93,0.24,new_generative,0.981283774495411,0.4001162255045889,0.4001162255045889,0.981283774495411
yeast_me2,KMeans_CTGAN,LGBM,0.8868,0.3009,0.6738,0.7732,0.6299,0.5146,0.6299,7.93,0.06,new_generative,0.9931641600818888,0.2666358399181113,0.2666358399181113,0.9931641600818888
yeast_me2,KMeans_CTGAN,MLP,0.7414,0.1392,0.5904,0.5713,0.6377,0.5604,0.6377,7.93,1.77,new_generative,0.9420240542579572,0.3333759457420429,0.3333759457420429,0.9420240542579572
yeast_me2,CTGAN_MOS,RF,0.9231,0.251,0.4897,0.4831,0.4965,0.0,0.4965,6.79,0.25,new_generative,0.993,0.0,0.0,0.993
yeast_me2,CTGAN_MOS,LGBM,0.8934,0.3025,0.6207,0.6738,0.5942,0.4446,0.5942,6.79,0.08,new_generative,0.9884137491260292,0.19998625087397065,0.19998625087397065,0.9884137491260292
yeast_me2,CTGAN_MOS,MLP,0.8277,0.1484,0.6213,0.5964,0.6745,0.6161,0.6745,6.79,2.02,new_generative,0.9490378662407064,0.39996213375929357,0.39996213375929357,0.9490378662407064
mammography,KMeans_CTGAN,RF,0.9417,0.6299,0.7842,0.7791,0.7895,0.7638,0.7895,9.07,0.36,new_generative,0.9892994244235951,0.5897005755764049,0.5897005755764049,0.9892994244235951
mammography,KMeans_CTGAN,LGBM,0.9473,0.7006,0.8079,0.8006,0.8156,0.7967,0.8156,9.07,0.08,new_generative,0.9901636560112101,0.6410363439887898,0.6410363439887898,0.9901636560112101
mammography,KMeans_CTGAN,MLP,0.9589,0.6907,0.8167,0.8008,0.8346,0.82,0.8346,9.07,13.92,new_generative,0.9900257378943401,0.6791742621056599,0.6791742621056599,0.9900257378943401
mammography,CTGAN_MOS,RF,0.9404,0.5623,0.7039,0.6577,0.7985,0.7802,0.7985,5.32,0.38,new_generative,0.9684712034434066,0.6285287965565933,0.6285287965565933,0.9684712034434066
mammography,CTGAN_MOS,LGBM,0.9533,0.6626,0.8132,0.8384,0.7917,0.7655,0.7917,5.32,0.09,new_generative,0.9936867322375408,0.5897132677624591,0.5897132677624591,0.9936867322375408
mammography,CTGAN_MOS,MLP,0.9598,0.6323,0.7544,0.6954,0.8768,0.8717,0.8768,5.32,8.49,new_generative,0.971231721365228,0.7823682786347721,0.7823682786347721,0.971231721365228
abalone_19,KMeans_CTGAN,RF,0.7261,0.0172,0.498,0.496,0.5,0.0,0.5,33.0,0.32,new_generative,1.0,0.0,0.0,1.0
abalone_19,KMeans_CTGAN,LGBM,0.7599,0.0424,0.498,0.496,0.5,0.0,0.5,33.0,0.08,new_generative,1.0,0.0,0.0,1.0
abalone_19,KMeans_CTGAN,MLP,0.7578,0.0293,0.5306,0.5225,0.6275,0.5353,0.6275,33.0,2.91,new_generative,0.9549296260267233,0.30007037397327657,0.30007037397327657,0.9549296260267233
abalone_19,CTGAN_MOS,RF,0.7313,0.0246,0.498,0.496,0.5,0.0,0.5,5.43,0.32,new_generative,1.0,0.0,0.0,1.0
abalone_19,CTGAN_MOS,LGBM,0.693,0.0282,0.498,0.496,0.5,0.0,0.5,5.43,0.08,new_generative,1.0,0.0,0.0,1.0
abalone_19,CTGAN_MOS,MLP,0.8218,0.0331,0.4966,0.496,0.4972,0.0,0.4972,5.43,2.84,new_generative,0.9944,0.0,0.0,0.9944
wine_quality,KMeans_CTGAN,RF,0.8348,0.1921,0.6231,0.6438,0.6083,0.4813,0.6083,15.14,0.32,new_generative,0.9802935483311503,0.23630645166884956,0.23630645166884956,0.9802935483311503
wine_quality,KMeans_CTGAN,LGBM,0.8701,0.2397,0.6134,0.6514,0.5922,0.4437,0.5922,15.14,0.08,new_generative,0.9844131435839446,0.1999868564160553,0.1999868564160553,0.9844131435839446
wine_quality,KMeans_CTGAN,MLP,0.8189,0.2673,0.617,0.6297,0.6069,0.4806,0.6069,15.14,4.95,new_generative,0.977509295620064,0.23629070437993605,0.23629070437993605,0.977509295620064
wine_quality,CTGAN_MOS,RF,0.8449,0.2384,0.654,0.6568,0.6513,0.565,0.6513,8.38,0.34,new_generative,0.9752856323974878,0.3273143676025122,0.3273143676025122,0.9752856323974878
wine_quality,CTGAN_MOS,LGBM,0.8678,0.2204,0.608,0.6213,0.5978,0.4618,0.5978,8.38,0.08,new_generative,0.9774124339375623,0.21818756606243778,0.21818756606243778,0.9774124339375623
wine_quality,CTGAN_MOS,MLP,0.793,0.2474,0.6807,0.6526,0.7257,0.6866,0.7257,8.38,5.08,new_generative,0.9606913402659767,0.4907086597340233,0.4907086597340233,0.9606913402659767
ecoli,KMeans_CTGAN,RF,0.9828,0.8896,0.8671,0.8835,0.8525,0.8433,0.8525,5.75,0.2,new_generative,0.9774054042065435,0.7275945957934565,0.7275945957934565,0.9774054042065435
ecoli,KMeans_CTGAN,LGBM,0.9626,0.8145,0.8671,0.8835,0.8525,0.8433,0.8525,5.75,0.04,new_generative,0.9774054042065435,0.7275945957934565,0.7275945957934565,0.9774054042065435
ecoli,KMeans_CTGAN,MLP,0.9475,0.7545,0.8581,0.8348,0.8869,0.8842,0.8869,5.75,0.44,new_generative,0.9560517895646962,0.8177482104353039,0.8177482104353039,0.9560517895646962
ecoli,CTGAN_MOS,RF,0.9859,0.9119,0.8671,0.8835,0.8525,0.8433,0.8525,5.4,0.21,new_generative,0.9774054042065435,0.7275945957934565,0.7275945957934565,0.9774054042065435
ecoli,CTGAN_MOS,LGBM,0.9657,0.8375,0.8335,0.8671,0.8071,0.7888,0.8071,5.4,0.05,new_generative,0.9779946166501456,0.6362053833498544,0.6362053833498544,0.9779946166501456
ecoli,CTGAN_MOS,MLP,0.9313,0.6688,0.7927,0.7528,0.8646,0.8634,0.8646,5.4,0.59,new_generative,0.910136798306426,0.819063201693574,0.819063201693574,0.910136798306426
pageblocks,KMeans_CTGAN,RF,0.9963,0.5315,0.7558,0.6739,0.9954,0.9954,0.9954,20.45,0.28,new_generative,0.9954,0.9954,0.9954,0.9954
pageblocks,KMeans_CTGAN,LGBM,0.9969,0.5863,0.7645,0.6818,0.9957,0.9957,0.9957,20.45,0.08,new_generative,0.9957,0.9957,0.9957,0.9957
pageblocks,KMeans_CTGAN,MLP,0.9963,0.5485,0.7901,0.7184,0.9347,0.9328,0.9347,20.45,1.69,new_generative,0.9942671889549946,0.8751328110450054,0.8751328110450054,0.9942671889549946
pageblocks,CTGAN_MOS,RF,0.9963,0.4031,0.8321,0.75,0.9976,0.9975,0.9976,8.22,0.33,new_generative,1.0117248008835509,0.9834751991164492,0.9834751991164492,1.0117248008835509
pageblocks,CTGAN_MOS,LGBM,0.9977,0.6501,0.8062,0.7222,0.9969,0.9969,0.9969,8.22,0.07,new_generative,0.9969,0.9969,0.9969,0.9969
pageblocks,CTGAN_MOS,MLP,0.9971,0.603,0.803,0.733,0.9351,0.9331,0.9351,8.22,1.72,new_generative,0.9962260991721219,0.8739739008278782,0.8739739008278782,0.9962260991721219
protein_homo,KMeans_CTGAN,RF,0.9789,0.8199,0.9045,0.9667,0.8571,0.8452,0.8571,90.3,13.89,new_generative,0.9994283878922263,0.7147716121077736,0.7147716121077736,0.9994283878922263
protein_homo,KMeans_CTGAN,LGBM,0.9912,0.8691,0.9122,0.9416,0.8864,0.8793,0.8864,90.3,0.87,new_generative,0.9983663788822337,0.7744336211177663,0.7744336211177663,0.9983663788822337
protein_homo,KMeans_CTGAN,MLP,0.995,0.901,0.9303,0.9548,0.9084,0.9038,0.9084,90.3,47.26,new_generative,0.9997023548436728,0.8170976451563272,0.8170976451563272,0.9997023548436728
protein_homo,CTGAN_MOS,RF,0.9737,0.8046,0.9001,0.9661,0.8507,0.8376,0.8507,92.45,14.48,new_generative,0.9994169459073177,0.7019830540926824,0.7019830540926824,0.9994169459073177
protein_homo,CTGAN_MOS,LGBM,0.9902,0.8604,0.892,0.9206,0.867,0.8569,0.867,92.45,0.93,new_generative,0.9989522262032737,0.7350477737967263,0.7350477737967263,0.9989522262032737
protein_homo,CTGAN_MOS,MLP,0.9945,0.9076,0.9316,0.9515,0.9135,0.9095,0.9135,92.45,44.09,new_generative,0.9988932081608372,0.8281067918391628,0.8281067918391628,0.9988932081608372
satellite,KMeans_CTGAN,RF,0.9425,0.6774,0.7814,0.769,0.7956,0.7806,0.7956,28.71,0.4,new_generative,0.9493628043448742,0.6418371956551258,0.6418371956551258,0.9493628043448742
satellite,KMeans_CTGAN,LGBM,0.9518,0.7283,0.8059,0.8136,0.7986,0.7808,0.7986,28.71,0.11,new_generative,0.9662702716643587,0.6309297283356412,0.6309297283356412,0.9662702716643587
satellite,KMeans_CTGAN,MLP,0.953,0.7578,0.8315,0.8339,0.8291,0.8173,0.8291,28.71,4.58,new_generative,0.9684826388041204,0.6897173611958795,0.6897173611958795,0.9684826388041204
satellite,CTGAN_MOS,RF,0.9483,0.7124,0.7924,0.8316,0.7633,0.7332,0.7633,17.43,0.39,new_generative,0.9755372493225447,0.5510627506774552,0.5510627506774552,0.9755372493225447
satellite,CTGAN_MOS,LGBM,0.9504,0.7428,0.8121,0.854,0.7811,0.7555,0.7811,17.43,0.1,new_generative,0.9794354733778106,0.5827645266221895,0.5827645266221895,0.9794354733778106
satellite,CTGAN_MOS,MLP,0.9536,0.7391,0.8215,0.8231,0.82,0.8068,0.82,17.43,7.24,new_generative,0.9665392780110502,0.6734607219889497,0.6734607219889497,0.9665392780110502
churn,KMeans_CTGAN,RF,0.9218,0.8598,0.8655,0.947,0.8157,0.7958,0.8157,28.35,0.33,new_generative,0.9947777763989715,0.6366222236010285,0.6366222236010285,0.9947777763989715
churn,KMeans_CTGAN,LGBM,0.9291,0.8921,0.9095,0.9472,0.8798,0.8728,0.8798,28.35,0.08,new_generative,0.9905619068091556,0.7690380931908445,0.7690380931908445,0.9905619068091556
churn,KMeans_CTGAN,MLP,0.9132,0.8072,0.8495,0.884,0.8229,0.8085,0.8229,28.35,3.8,new_generative,0.9761715237739874,0.6696284762260125,0.6696284762260125,0.9761715237739874
churn,CTGAN_MOS,RF,0.927,0.8671,0.8502,0.9495,0.7952,0.7694,0.7952,9.18,0.32,new_generative,0.9961146087271906,0.5942853912728094,0.5942853912728094,0.9961146087271906
churn,CTGAN_MOS,LGBM,0.9261,0.8928,0.9188,0.9547,0.89,0.8841,0.89,9.18,0.08,new_generative,0.9923092859910578,0.7876907140089422,0.7876907140089422,0.9923092859910578
churn,CTGAN_MOS,MLP,0.9116,0.803,0.8456,0.8733,0.8233,0.8097,0.8233,9.18,3.98,new_generative,0.972326172198041,0.6742738278019591,0.6742738278019591,0.972326172198041
secom,KMeans_CTGAN,RF,0.79,0.2298,0.483,0.4671,0.5,0.0,0.5,161.32,0.32,new_generative,1.0,0.0,0.0,1.0
secom,KMeans_CTGAN,LGBM,0.8177,0.2737,0.483,0.4671,0.5,0.0,0.5,161.32,0.47,new_generative,1.0,0.0,0.0,1.0
secom,KMeans_CTGAN,MLP,0.693,0.1647,0.509,0.5678,0.5116,0.1788,0.5116,161.32,0.67,new_generative,0.9909382104527034,0.03226178954729675,0.03226178954729675,0.9909382104527034
secom,CTGAN_MOS,RF,0.7722,0.178,0.483,0.4671,0.5,0.0,0.5,168.32,0.32,new_generative,1.0,0.0,0.0,1.0
secom,CTGAN_MOS,LGBM,0.7774,0.1909,0.4813,0.4669,0.4966,0.0,0.4966,168.32,0.5,new_generative,0.9932,0.0,0.0,0.9932
secom,CTGAN_MOS,MLP,0.6604,0.1363,0.53,0.5797,0.5243,0.252,0.5243,168.32,0.79,new_generative,0.9840678653407609,0.06453213465923918,0.06453213465923918,0.9840678653407609
thyroid_sick,KMeans_CTGAN,RF,0.9949,0.9349,0.9348,0.9319,0.9378,0.9363,0.9378,19.29,0.27,new_generative,0.9908202791392111,0.8847797208607888,0.8847797208607888,0.9908202791392111
thyroid_sick,KMeans_CTGAN,LGBM,0.9979,0.9671,0.9454,0.9217,0.9726,0.9725,0.9726,19.29,0.1,new_generative,0.9865466841937404,0.9586533158062597,0.9586533158062597,0.9865466841937404
thyroid_sick,KMeans_CTGAN,MLP,0.9729,0.8007,0.8694,0.8578,0.8819,0.8763,0.8819,19.29,1.83,new_generative,0.9811266093343921,0.7826733906656079,0.7826733906656079,0.9811266093343921
thyroid_sick,CTGAN_MOS,RF,0.9925,0.9276,0.8839,0.9347,0.845,0.8317,0.845,20.04,0.29,new_generative,0.9943322135374677,0.6956677864625322,0.6956677864625322,0.9943322135374677
thyroid_sick,CTGAN_MOS,LGBM,0.9978,0.9622,0.9391,0.9333,0.945,0.9439,0.945,20.04,0.08,new_generative,0.9905827818370059,0.899417218162994,0.899417218162994,0.9905827818370059
