dataset,oversampling,classifier,n_resampled,minority_ratio,oversample_time,train_time,AUC,F1,Precision,Recall
yeast_me2,G-SMOTE,LGBM,2005,0.5002,0.38,0.16,0.9109,0.6373,0.6071,0.7067
yeast_me2,G-SMOTE,MLP,2005,0.5002,0.38,19.25,0.8076,0.6283,0.6133,0.6493
yeast_me2,CTGAN,RF,2004,0.5,1.95,0.2,0.9131,0.4909,0.4831,0.4988
yeast_me2,CTGAN,LGBM,2004,0.5,1.95,0.07,0.8899,0.5967,0.7353,0.5643
yeast_me2,CTGAN,MLP,2004,0.5,1.95,2.53,0.7903,0.5789,0.5614,0.633
yeast_me2,TVAE,RF,2004,0.5,1.06,0.21,0.9202,0.5464,0.6509,0.531
yeast_me2,TVAE,LGBM,2004,0.5,1.06,0.07,0.8937,0.6653,0.7374,0.6287
yeast_me2,TVAE,MLP,2004,0.5,1.06,1.59,0.77,0.6139,0.5892,0.6722
yeast_me2,G-CTGAN,RF,1977,0.4932,1.93,0.22,0.9177,0.4909,0.4831,0.4988
yeast_me2,G-CTGAN,LGBM,1977,0.4932,1.93,0.06,0.9009,0.642,0.7864,0.5977
yeast_me2,G-CTGAN,MLP,1977,0.4932,1.93,3.99,0.8107,0.5289,0.5352,0.6533
mammography,None,RF,7828,0.0232,0.0,0.26,0.9707,0.8408,0.8522,0.8301
mammography,None,LGBM,7828,0.0232,0.0,0.08,0.9551,0.8432,0.7962,0.91
mammography,None,MLP,7828,0.0232,0.0,6.81,0.9747,0.8541,0.899,0.8187
mammography,SMOTE,RF,15292,0.5,0.0,0.4,0.97,0.8087,0.7448,0.9252
mammography,SMOTE,LGBM,15292,0.5,0.0,0.09,0.9773,0.8147,0.756,0.9136
mammography,SMOTE,MLP,15292,0.5,0.0,20.5,0.9413,0.7966,0.74,0.8936
mammography,ADASYN,RF,15274,0.4994,0.01,0.41,0.9648,0.773,0.7111,0.8971
mammography,ADASYN,LGBM,15274,0.4994,0.01,0.09,0.9593,0.7786,0.713,0.9159
mammography,ADASYN,MLP,15274,0.4994,0.01,23.23,0.9303,0.7588,0.6949,0.9014
mammography,G-SMOTE,RF,45876,0.8333,0.43,0.91,0.9689,0.771,0.7076,0.9029
mammography,G-SMOTE,LGBM,45876,0.8333,0.43,0.23,0.9581,0.8231,0.7664,0.9144
mammography,G-SMOTE,MLP,45876,0.8333,0.43,87.32,0.9258,0.4493,0.5257,0.7588
mammography,CTGAN,RF,15292,0.5,1.67,0.36,0.9514,0.81,0.8044,0.8158
mammography,CTGAN,LGBM,15292,0.5,1.67,0.09,0.9517,0.8495,0.8563,0.8429
mammography,CTGAN,MLP,15292,0.5,1.67,32.01,0.9672,0.8208,0.8079,0.8349
mammography,TVAE,RF,15292,0.5,1.57,0.46,0.9623,0.8105,0.7949,0.828
mammography,TVAE,LGBM,15292,0.5,1.57,0.17,0.9599,0.825,0.8271,0.823
mammography,TVAE,MLP,15292,0.5,1.57,17.74,0.9686,0.8329,0.8054,0.8663
mammography,G-CTGAN,RF,15292,0.5,10.83,0.42,0.9476,0.798,0.7663,0.8391
mammography,G-CTGAN,LGBM,15292,0.5,10.83,0.2,0.9552,0.8352,0.8135,0.8603
mammography,G-CTGAN,MLP,15292,0.5,10.83,27.89,0.9631,0.7847,0.7316,0.8742
abalone_19,None,RF,2923,0.0075,0.0,0.31,0.8475,0.498,0.496,0.5
abalone_19,None,LGBM,2923,0.0075,0.0,0.15,0.8207,0.4966,0.496,0.4972
abalone_19,None,MLP,2923,0.0075,0.0,5.45,0.8239,0.498,0.496,0.5
abalone_19,SMOTE,RF,5802,0.5,0.0,0.36,0.8096,0.5095,0.5133,0.6142
abalone_19,SMOTE,LGBM,5802,0.5,0.0,0.18,0.8246,0.4956,0.496,0.4952
abalone_19,SMOTE,MLP,5802,0.5,0.0,7.97,0.8453,0.5277,0.5214,0.5424
abalone_19,ADASYN,RF,5801,0.4999,0.01,0.35,0.8259,0.5085,0.5129,0.6134
abalone_19,ADASYN,LGBM,5801,0.4999,0.01,0.17,0.8064,0.4939,0.4959,0.492
abalone_19,ADASYN,MLP,5801,0.4999,0.01,6.86,0.8322,0.5442,0.5312,0.5891
abalone_19,G-SMOTE,RF,17406,0.8333,0.34,0.49,0.8412,0.535,0.5249,0.6295
abalone_19,G-SMOTE,LGBM,17406,0.8333,0.34,0.19,0.8899,0.4946,0.496,0.4932
abalone_19,G-SMOTE,MLP,17406,0.8333,0.34,19.85,0.8321,0.5149,0.5115,0.5371
abalone_19,CTGAN,RF,5802,0.5,2.67,0.31,0.7755,0.498,0.496,0.5
abalone_19,CTGAN,LGBM,5802,0.5,2.67,0.16,0.8311,0.498,0.496,0.5
abalone_19,CTGAN,MLP,5802,0.5,2.67,5.22,0.8776,0.4978,0.496,0.4996
abalone_19,TVAE,RF,5802,0.5,1.59,0.31,0.7916,0.498,0.496,0.5
abalone_19,TVAE,LGBM,5802,0.5,1.59,0.16,0.8621,0.498,0.496,0.5
abalone_19,TVAE,MLP,5802,0.5,1.59,5.3,0.7995,0.496,0.496,0.496
abalone_19,G-CTGAN,RF,5803,0.5001,11.35,0.33,0.802,0.498,0.496,0.5
abalone_19,G-CTGAN,LGBM,5803,0.5001,11.35,0.17,0.7932,0.4978,0.496,0.4996
abalone_19,G-CTGAN,MLP,5803,0.5001,11.35,9.13,0.8031,0.4909,0.4959,0.4859
wine_quality,None,RF,3428,0.0373,0.0,0.43,0.8821,0.659,0.7358,0.6223
wine_quality,None,LGBM,3428,0.0373,0.0,0.16,0.8773,0.6832,0.6629,0.7107
wine_quality,None,MLP,3428,0.0373,0.0,10.97,0.8118,0.6743,0.7364,0.6398
wine_quality,SMOTE,RF,6600,0.5,0.0,0.37,0.8467,0.6029,0.5802,0.6657
wine_quality,SMOTE,LGBM,6600,0.5,0.0,0.18,0.8644,0.7,0.6674,0.7533
wine_quality,SMOTE,MLP,6600,0.5,0.0,11.25,0.8073,0.6769,0.6686,0.6862
wine_quality,ADASYN,RF,6608,0.5006,0.02,0.4,0.8404,0.6119,0.5852,0.7052
wine_quality,ADASYN,LGBM,6608,0.5006,0.02,0.17,0.8548,0.6601,0.629,0.7207
wine_quality,ADASYN,MLP,6608,0.5006,0.02,12.26,0.8028,0.6797,0.6582,0.71
wine_quality,G-SMOTE,RF,9900,0.6667,0.4,0.47,0.8549,0.6324,0.6089,0.6756
wine_quality,G-SMOTE,LGBM,9900,0.6667,0.4,0.19,0.8524,0.6545,0.6322,0.6889
wine_quality,G-SMOTE,MLP,9900,0.6667,0.4,17.57,0.8067,0.6848,0.6899,0.68
wine_quality,CTGAN,RF,6600,0.5,3.58,0.36,0.8414,0.5463,0.6158,0.5325
wine_quality,CTGAN,LGBM,6600,0.5,3.58,0.17,0.8541,0.6101,0.7091,0.5779
wine_quality,CTGAN,MLP,6600,0.5,3.58,10.63,0.8443,0.7209,0.734,0.7093
wine_quality,TVAE,RF,6600,0.5,2.4,0.37,0.8041,0.5692,0.5578,0.5913
wine_quality,TVAE,LGBM,6600,0.5,2.4,0.18,0.8132,0.5553,0.5508,0.5613
wine_quality,TVAE,MLP,6600,0.5,2.4,15.78,0.8195,0.6431,0.6132,0.7084
wine_quality,G-CTGAN,RF,6600,0.5,5.35,0.39,0.8014,0.5847,0.5929,0.5782
wine_quality,G-CTGAN,LGBM,6600,0.5,5.35,0.17,0.8324,0.5896,0.6033,0.5796
wine_quality,G-CTGAN,MLP,6600,0.5,5.35,14.85,0.8406,0.6854,0.6708,0.7033
ecoli,None,RF,235,0.1021,0.0,0.28,0.9576,0.8773,0.8638,0.8924
ecoli,None,LGBM,235,0.1021,0.0,0.06,0.9535,0.8773,0.8638,0.8924
ecoli,None,MLP,235,0.1021,0.0,0.97,0.9232,0.847,0.847,0.847
ecoli,SMOTE,RF,422,0.5,0.0,0.27,0.9566,0.847,0.847,0.847
ecoli,SMOTE,LGBM,422,0.5,0.0,0.05,0.9283,0.8234,0.7884,0.8758
ecoli,SMOTE,MLP,422,0.5,0.0,1.0,0.898,0.8283,0.8165,0.8414
ecoli,ADASYN,RF,418,0.4952,0.0,0.19,0.9545,0.8109,0.7906,0.8359
ecoli,ADASYN,LGBM,418,0.4952,0.0,0.04,0.9515,0.8283,0.8165,0.8414
ecoli,ADASYN,MLP,418,0.4952,0.0,0.95,0.901,0.8283,0.8165,0.8414
ecoli,G-SMOTE,RF,423,0.5012,0.36,0.22,0.9566,0.8283,0.8165,0.8414
ecoli,G-SMOTE,LGBM,423,0.5012,0.36,0.04,0.9485,0.8283,0.8165,0.8414
ecoli,G-SMOTE,MLP,423,0.5012,0.36,0.92,0.9,0.8109,0.7906,0.8359
ecoli,CTGAN,RF,422,0.5,1.66,0.18,0.9737,0.889,0.9281,0.8581
ecoli,CTGAN,LGBM,422,0.5,1.66,0.04,0.9576,0.889,0.9281,0.8581
ecoli,CTGAN,MLP,422,0.5,1.66,0.93,0.9283,0.8076,0.7695,0.8702
ecoli,TVAE,RF,422,0.5,0.94,0.23,0.9747,0.8335,0.8671,0.8071
ecoli,TVAE,LGBM,422,0.5,0.94,0.08,0.9677,0.8671,0.8835,0.8525
ecoli,TVAE,MLP,422,0.5,0.94,1.4,0.9162,0.8581,0.8348,0.8869
ecoli,G-CTGAN,RF,414,0.4903,2.5,0.27,0.9808,0.8671,0.8835,0.8525
ecoli,G-CTGAN,LGBM,414,0.4903,2.5,0.08,0.9545,0.8335,0.8671,0.8071
ecoli,G-CTGAN,MLP,414,0.4903,2.5,0.71,0.9232,0.8342,0.7882,0.9157
pageblocks,None,RF,3831,0.0052,0.0,0.31,0.9989,0.8186,0.7353,0.9972
pageblocks,None,LGBM,3831,0.0052,0.0,0.1,0.9993,0.8321,0.75,0.9976
pageblocks,None,MLP,3831,0.0052,0.0,2.05,0.9978,0.7712,0.7137,0.8726
pageblocks,SMOTE,RF,7622,0.5,0.0,0.33,0.9971,0.7088,0.6806,0.7479
pageblocks,SMOTE,LGBM,7622,0.5,0.0,0.16,0.9961,0.7088,0.6806,0.7479
pageblocks,SMOTE,MLP,7622,0.5,0.0,2.86,0.9987,0.8062,0.7222,0.9969
pageblocks,ADASYN,RF,7623,0.5001,0.01,0.33,0.9976,0.7207,0.6988,0.7482
pageblocks,ADASYN,LGBM,7623,0.5001,0.01,0.16,0.9964,0.7485,0.7074,0.8104
pageblocks,ADASYN,MLP,7623,0.5001,0.01,3.47,0.9985,0.7946,0.7105,0.9966
pageblocks,G-SMOTE,RF,30488,0.875,0.35,0.73,0.9972,0.7207,0.6988,0.7482
pageblocks,G-SMOTE,LGBM,30488,0.875,0.35,0.18,0.9964,0.6885,0.6526,0.7472
pageblocks,G-SMOTE,MLP,30488,0.875,0.35,4.42,0.9984,0.7946,0.7105,0.9966
pageblocks,CTGAN,RF,7622,0.5,1.88,0.3,0.9942,0.6758,0.6241,0.8079
pageblocks,CTGAN,LGBM,7622,0.5,1.88,0.08,0.9971,0.7645,0.6818,0.9957
pageblocks,CTGAN,MLP,7622,0.5,1.88,3.13,0.9969,0.7712,0.7137,0.8726
pageblocks,TVAE,RF,7622,0.5,1.4,0.36,0.9966,0.8186,0.7353,0.9972
pageblocks,TVAE,LGBM,7622,0.5,1.4,0.16,0.9967,0.8062,0.7222,0.9969
pageblocks,TVAE,MLP,7622,0.5,1.4,4.76,0.9959,0.7674,0.6941,0.9341
pageblocks,G-CTGAN,RF,7622,0.5,15.04,0.33,0.9994,0.7839,0.7,0.9963
pageblocks,G-CTGAN,LGBM,7622,0.5,15.04,0.16,0.9997,0.8062,0.7222,0.9969
pageblocks,G-CTGAN,MLP,7622,0.5,15.04,4.67,0.9992,0.8186,0.7353,0.9972
protein_homo,None,RF,102025,0.0089,0.01,4.61,0.9952,0.9227,0.9233,0.9222
protein_homo,None,LGBM,102025,0.0089,0.01,0.59,0.9976,0.8518,0.7853,0.9609
protein_homo,None,MLP,102025,0.0089,0.01,48.21,0.9948,0.9307,0.9573,0.9071
protein_homo,SMOTE,RF,202236,0.5,0.16,18.18,0.9951,0.8607,0.8021,0.9485
protein_homo,SMOTE,LGBM,202236,0.5,0.16,1.26,0.996,0.8073,0.7323,0.9592
protein_homo,SMOTE,MLP,202236,0.5,0.16,88.34,0.9935,0.9021,0.8874,0.9179
protein_homo,ADASYN,RF,202190,0.4999,0.23,16.35,0.9937,0.721,0.649,0.9567
protein_homo,ADASYN,LGBM,202190,0.4999,0.23,1.07,0.996,0.7238,0.6507,0.9632
protein_homo,ADASYN,MLP,202190,0.4999,0.23,66.58,0.9945,0.921,0.9276,0.9145
protein_homo,G-SMOTE,RF,303354,0.6667,2.19,31.61,0.9952,0.8813,0.8345,0.944
protein_homo,G-SMOTE,LGBM,303354,0.6667,2.19,1.29,0.9957,0.831,0.7622,0.9513
protein_homo,G-SMOTE,MLP,303354,0.6667,2.19,267.53,0.9946,0.9142,0.9152,0.9131
protein_homo,CTGAN,RF,202236,0.5,33.94,18.73,0.9808,0.911,0.9751,0.8623
protein_homo,CTGAN,LGBM,202236,0.5,33.94,0.92,0.9937,0.9138,0.9505,0.8827
protein_homo,CTGAN,MLP,202236,0.5,33.94,72.42,0.9952,0.932,0.9758,0.8957
protein_homo,TVAE,RF,202236,0.5,20.15,19.44,0.9805,0.8475,0.8144,0.8887
protein_homo,TVAE,LGBM,202236,0.5,20.15,1.0,0.9891,0.8751,0.8585,0.8932
protein_homo,TVAE,MLP,202236,0.5,20.15,129.49,0.9949,0.9195,0.9272,0.912
protein_homo,G-CTGAN,RF,202236,0.5,38.2,17.71,0.9774,0.9055,0.9528,0.8673
protein_homo,G-CTGAN,LGBM,202236,0.5,38.2,1.15,0.99,0.9134,0.9479,0.8839
protein_homo,G-CTGAN,MLP,202236,0.5,38.2,152.43,0.9946,0.9198,0.941,0.9006
