dataset,oversampling,classifier,minority_ratio,train_time,AUC,F1,Precision,Recall
pima_diabetes,,MLP,0.3482,1.16,0.7858,0.7019,0.7094,0.6973
pima_diabetes,SMOTE,RF,0.5,0.22,0.8426,0.7301,0.7266,0.7357
pima_diabetes,SMOTE,LGBM,0.5,0.06,0.8133,0.7188,0.7194,0.7181
pima_diabetes,SMOTE,MLP,0.5,1.55,0.7811,0.7092,0.7099,0.7086
pima_diabetes,ADASYN,RF,0.4949,0.21,0.8442,0.7499,0.7456,0.7575
pima_diabetes,ADASYN,LGBM,0.4949,0.06,0.8228,0.7164,0.7153,0.7177
pima_diabetes,ADASYN,MLP,0.4949,1.53,0.7945,0.7148,0.7148,0.7148
pima_diabetes,G-SMOTE,RF,0.8,0.26,0.8355,0.7561,0.753,0.7746
pima_diabetes,G-SMOTE,LGBM,0.8,0.08,0.8281,0.7157,0.7247,0.7101
pima_diabetes,G-SMOTE,MLP,0.8,3.7,0.7816,0.7085,0.7066,0.711
pima_diabetes,CTGAN,RF,0.5,0.21,0.8014,0.6942,0.6993,0.6906
pima_diabetes,CTGAN,LGBM,0.5,0.06,0.8007,0.694,0.7046,0.6883
pima_diabetes,CTGAN,MLP,0.5,1.56,0.7467,0.6883,0.6902,0.6868
pima_diabetes,TVAE,RF,0.5,0.21,0.8384,0.7488,0.7481,0.7495
pima_diabetes,TVAE,LGBM,0.5,0.06,0.8244,0.7157,0.7247,0.7101
pima_diabetes,TVAE,MLP,0.5,1.53,0.7817,0.6806,0.6846,0.6778
pima_diabetes,G-CTGAN,RF,0.5,0.28,0.8177,0.7267,0.7289,0.7248
pima_diabetes,G-CTGAN,LGBM,0.5,0.13,0.816,0.7363,0.7386,0.7343
pima_diabetes,G-CTGAN,MLP,0.5,2.02,0.7604,0.6845,0.6856,0.6835
ibm_attrition,,RF,0.1613,0.26,0.7796,0.5695,0.6282,0.5602
ibm_attrition,,LGBM,0.1613,0.17,0.7347,0.6575,0.6861,0.6409
ibm_attrition,,MLP,0.1613,1.53,0.7471,0.6817,0.7194,0.6604
ibm_attrition,SMOTE,RF,0.5,0.31,0.7797,0.6118,0.6694,0.594
ibm_attrition,SMOTE,LGBM,0.5,0.24,0.7659,0.6703,0.7431,0.6417
ibm_attrition,SMOTE,MLP,0.5,1.56,0.7414,0.6615,0.6729,0.6526
ibm_attrition,ADASYN,RF,0.5071,0.3,0.7888,0.6331,0.6997,0.6108
ibm_attrition,ADASYN,LGBM,0.5071,0.24,0.764,0.6437,0.7148,0.6192
ibm_attrition,ADASYN,MLP,0.5071,1.54,0.7454,0.6777,0.6952,0.665
ibm_attrition,G-SMOTE,RF,0.8889,0.41,0.7888,0.6302,0.7382,0.6049
ibm_attrition,G-SMOTE,LGBM,0.8889,0.32,0.7657,0.5917,0.7459,0.575
ibm_attrition,G-SMOTE,MLP,0.8889,3.2,0.7438,0.6834,0.6845,0.6824
ibm_attrition,CTGAN,RF,0.5,0.3,0.7729,0.5528,0.6514,0.5485
ibm_attrition,CTGAN,LGBM,0.5,0.18,0.7567,0.612,0.721,0.5908
ibm_attrition,CTGAN,MLP,0.5,1.82,0.7117,0.668,0.6785,0.6596
ibm_attrition,TVAE,RF,0.5,0.81,0.7694,0.5689,0.7057,0.5596
ibm_attrition,TVAE,LGBM,0.5,0.21,0.7531,0.6212,0.7299,0.5978
ibm_attrition,TVAE,MLP,0.5,1.78,0.7399,0.6861,0.7194,0.6661
ibm_attrition,G-CTGAN,RF,0.5,0.29,0.7772,0.5526,0.7341,0.5496
ibm_attrition,G-CTGAN,LGBM,0.5,0.14,0.7685,0.6212,0.7299,0.5978
ibm_attrition,G-CTGAN,MLP,0.5,1.9,0.6868,0.6481,0.6614,0.6385
yeast_me2,,RF,0.0347,0.29,0.9111,0.6146,0.6529,0.593
yeast_me2,,LGBM,0.0347,0.13,0.8818,0.6637,0.6474,0.6849
yeast_me2,,MLP,0.0347,3.2,0.8128,0.599,0.6112,0.5896
yeast_me2,SMOTE,RF,0.5,0.29,0.9027,0.5904,0.5713,0.6377
yeast_me2,SMOTE,LGBM,0.5,0.15,0.9191,0.6074,0.5881,0.6435
yeast_me2,SMOTE,MLP,0.5,4.08,0.8192,0.5985,0.5871,0.6148
yeast_me2,ADASYN,RF,0.5002,0.29,0.8919,0.5974,0.5748,0.6664
yeast_me2,ADASYN,LGBM,0.5002,0.18,0.9036,0.6074,0.5881,0.6435
yeast_me2,ADASYN,MLP,0.5002,4.63,0.8074,0.6336,0.6093,0.678
yeast_me2,G-SMOTE,RF,0.5002,0.31,0.9058,0.6213,0.5964,0.6745
yeast_me2,G-SMOTE,LGBM,0.5002,0.16,0.9109,0.6373,0.6071,0.7067
yeast_me2,G-SMOTE,MLP,0.5002,19.25,0.8076,0.6283,0.6133,0.6493
yeast_me2,CTGAN,RF,0.5,0.2,0.9131,0.4909,0.4831,0.4988
yeast_me2,CTGAN,LGBM,0.5,0.07,0.8899,0.5967,0.7353,0.5643
yeast_me2,CTGAN,MLP,0.5,2.53,0.7903,0.5789,0.5614,0.633
yeast_me2,TVAE,RF,0.5,0.21,0.9202,0.5464,0.6509,0.531
yeast_me2,TVAE,LGBM,0.5,0.07,0.8937,0.6653,0.7374,0.6287
yeast_me2,TVAE,MLP,0.5,1.59,0.77,0.6139,0.5892,0.6722
yeast_me2,G-CTGAN,RF,0.4932,0.22,0.9177,0.4909,0.4831,0.4988
yeast_me2,G-CTGAN,LGBM,0.4932,0.06,0.9009,0.642,0.7864,0.5977
yeast_me2,G-CTGAN,MLP,0.4932,3.99,0.8107,0.5289,0.5352,0.6533
mammography,,RF,0.0232,0.26,0.9707,0.8408,0.8522,0.8301
mammography,,LGBM,0.0232,0.08,0.9551,0.8432,0.7962,0.91
mammography,,MLP,0.0232,6.81,0.9747,0.8541,0.899,0.8187
mammography,SMOTE,RF,0.5,0.4,0.97,0.8087,0.7448,0.9252
mammography,SMOTE,LGBM,0.5,0.09,0.9773,0.8147,0.756,0.9136
mammography,SMOTE,MLP,0.5,20.5,0.9413,0.7966,0.74,0.8936
mammography,ADASYN,RF,0.4994,0.41,0.9648,0.773,0.7111,0.8971
mammography,ADASYN,LGBM,0.4994,0.09,0.9593,0.7786,0.713,0.9159
mammography,ADASYN,MLP,0.4994,23.23,0.9303,0.7588,0.6949,0.9014
mammography,G-SMOTE,RF,0.8333,0.91,0.9689,0.771,0.7076,0.9029
mammography,G-SMOTE,LGBM,0.8333,0.23,0.9581,0.8231,0.7664,0.9144
mammography,G-SMOTE,MLP,0.8333,87.32,0.9258,0.4493,0.5257,0.7588
mammography,CTGAN,RF,0.5,0.36,0.9514,0.81,0.8044,0.8158
mammography,CTGAN,LGBM,0.5,0.09,0.9517,0.8495,0.8563,0.8429
mammography,CTGAN,MLP,0.5,32.01,0.9672,0.8208,0.8079,0.8349
mammography,TVAE,RF,0.5,0.46,0.9623,0.8105,0.7949,0.828
mammography,TVAE,LGBM,0.5,0.17,0.9599,0.825,0.8271,0.823
mammography,TVAE,MLP,0.5,17.74,0.9686,0.8329,0.8054,0.8663
mammography,G-CTGAN,RF,0.5,0.42,0.9476,0.798,0.7663,0.8391
mammography,G-CTGAN,LGBM,0.5,0.2,0.9552,0.8352,0.8135,0.8603
mammography,G-CTGAN,MLP,0.5,27.89,0.9631,0.7847,0.7316,0.8742
abalone_19,,RF,0.0075,0.31,0.8475,0.498,0.496,0.5
abalone_19,,LGBM,0.0075,0.15,0.8207,0.4966,0.496,0.4972
abalone_19,,MLP,0.0075,5.45,0.8239,0.498,0.496,0.5
abalone_19,SMOTE,RF,0.5,0.36,0.8096,0.5095,0.5133,0.6142
abalone_19,SMOTE,LGBM,0.5,0.18,0.8246,0.4956,0.496,0.4952
abalone_19,SMOTE,MLP,0.5,7.97,0.8453,0.5277,0.5214,0.5424
abalone_19,ADASYN,RF,0.4999,0.35,0.8259,0.5085,0.5129,0.6134
abalone_19,ADASYN,LGBM,0.4999,0.17,0.8064,0.4939,0.4959,0.492
abalone_19,ADASYN,MLP,0.4999,6.86,0.8322,0.5442,0.5312,0.5891
abalone_19,G-SMOTE,RF,0.8333,0.49,0.8412,0.535,0.5249,0.6295
abalone_19,G-SMOTE,LGBM,0.8333,0.19,0.8899,0.4946,0.496,0.4932
abalone_19,G-SMOTE,MLP,0.8333,19.85,0.8321,0.5149,0.5115,0.5371
abalone_19,CTGAN,RF,0.5,0.31,0.7755,0.498,0.496,0.5
abalone_19,CTGAN,LGBM,0.5,0.16,0.8311,0.498,0.496,0.5
abalone_19,CTGAN,MLP,0.5,5.22,0.8776,0.4978,0.496,0.4996
abalone_19,TVAE,RF,0.5,0.31,0.7916,0.498,0.496,0.5
abalone_19,TVAE,LGBM,0.5,0.16,0.8621,0.498,0.496,0.5
abalone_19,TVAE,MLP,0.5,5.3,0.7995,0.496,0.496,0.496
abalone_19,G-CTGAN,RF,0.5001,0.33,0.802,0.498,0.496,0.5
abalone_19,G-CTGAN,LGBM,0.5001,0.17,0.7932,0.4978,0.496,0.4996
abalone_19,G-CTGAN,MLP,0.5001,9.13,0.8031,0.4909,0.4959,0.4859
wine_quality,,RF,0.0373,0.43,0.8821,0.659,0.7358,0.6223
wine_quality,,LGBM,0.0373,0.16,0.8773,0.6832,0.6629,0.7107
wine_quality,,MLP,0.0373,10.97,0.8118,0.6743,0.7364,0.6398
wine_quality,SMOTE,RF,0.5,0.37,0.8467,0.6029,0.5802,0.6657
wine_quality,SMOTE,LGBM,0.5,0.18,0.8644,0.7,0.6674,0.7533
wine_quality,SMOTE,MLP,0.5,11.25,0.8073,0.6769,0.6686,0.6862
wine_quality,ADASYN,RF,0.5006,0.4,0.8404,0.6119,0.5852,0.7052
wine_quality,ADASYN,LGBM,0.5006,0.17,0.8548,0.6601,0.629,0.7207
wine_quality,ADASYN,MLP,0.5006,12.26,0.8028,0.6797,0.6582,0.71
wine_quality,G-SMOTE,RF,0.6667,0.47,0.8549,0.6324,0.6089,0.6756
wine_quality,G-SMOTE,LGBM,0.6667,0.19,0.8524,0.6545,0.6322,0.6889
wine_quality,G-SMOTE,MLP,0.6667,17.57,0.8067,0.6848,0.6899,0.68
wine_quality,CTGAN,RF,0.5,0.36,0.8414,0.5463,0.6158,0.5325
wine_quality,CTGAN,LGBM,0.5,0.17,0.8541,0.6101,0.7091,0.5779
wine_quality,CTGAN,MLP,0.5,10.63,0.8443,0.7209,0.734,0.7093
wine_quality,TVAE,RF,0.5,0.37,0.8041,0.5692,0.5578,0.5913
wine_quality,TVAE,LGBM,0.5,0.18,0.8132,0.5553,0.5508,0.5613
wine_quality,TVAE,MLP,0.5,15.78,0.8195,0.6431,0.6132,0.7084
wine_quality,G-CTGAN,RF,0.5,0.39,0.8014,0.5847,0.5929,0.5782
wine_quality,G-CTGAN,LGBM,0.5,0.17,0.8324,0.5896,0.6033,0.5796
wine_quality,G-CTGAN,MLP,0.5,14.85,0.8406,0.6854,0.6708,0.7033
ecoli,,RF,0.1021,0.28,0.9576,0.8773,0.8638,0.8924
ecoli,,LGBM,0.1021,0.06,0.9535,0.8773,0.8638,0.8924
ecoli,,MLP,0.1021,0.97,0.9232,0.847,0.847,0.847
ecoli,SMOTE,RF,0.5,0.27,0.9566,0.847,0.847,0.847
ecoli,SMOTE,LGBM,0.5,0.05,0.9283,0.8234,0.7884,0.8758
ecoli,SMOTE,MLP,0.5,1.0,0.898,0.8283,0.8165,0.8414
ecoli,ADASYN,RF,0.4952,0.19,0.9545,0.8109,0.7906,0.8359
ecoli,ADASYN,LGBM,0.4952,0.04,0.9515,0.8283,0.8165,0.8414
ecoli,ADASYN,MLP,0.4952,0.95,0.901,0.8283,0.8165,0.8414
ecoli,G-SMOTE,RF,0.5012,0.22,0.9566,0.8283,0.8165,0.8414
ecoli,G-SMOTE,LGBM,0.5012,0.04,0.9485,0.8283,0.8165,0.8414
ecoli,G-SMOTE,MLP,0.5012,0.92,0.9,0.8109,0.7906,0.8359
ecoli,CTGAN,RF,0.5,0.18,0.9737,0.889,0.9281,0.8581
ecoli,CTGAN,LGBM,0.5,0.04,0.9576,0.889,0.9281,0.8581
ecoli,CTGAN,MLP,0.5,0.93,0.9283,0.8076,0.7695,0.8702
ecoli,TVAE,RF,0.5,0.23,0.9747,0.8335,0.8671,0.8071
ecoli,TVAE,LGBM,0.5,0.08,0.9677,0.8671,0.8835,0.8525
ecoli,TVAE,MLP,0.5,1.4,0.9162,0.8581,0.8348,0.8869
ecoli,G-CTGAN,RF,0.4903,0.27,0.9808,0.8671,0.8835,0.8525
ecoli,G-CTGAN,LGBM,0.4903,0.08,0.9545,0.8335,0.8671,0.8071
ecoli,G-CTGAN,MLP,0.4903,0.71,0.9232,0.8342,0.7882,0.9157
pageblocks,,RF,0.0052,0.31,0.9989,0.8186,0.7353,0.9972
pageblocks,,LGBM,0.0052,0.1,0.9993,0.8321,0.75,0.9976
pageblocks,,MLP,0.0052,2.05,0.9978,0.7712,0.7137,0.8726
pageblocks,SMOTE,RF,0.5,0.33,0.9971,0.7088,0.6806,0.7479
pageblocks,SMOTE,LGBM,0.5,0.16,0.9961,0.7088,0.6806,0.7479
pageblocks,SMOTE,MLP,0.5,2.86,0.9987,0.8062,0.7222,0.9969
pageblocks,ADASYN,RF,0.5001,0.33,0.9976,0.7207,0.6988,0.7482
pageblocks,ADASYN,LGBM,0.5001,0.16,0.9964,0.7485,0.7074,0.8104
pageblocks,ADASYN,MLP,0.5001,3.47,0.9985,0.7946,0.7105,0.9966
pageblocks,G-SMOTE,RF,0.875,0.73,0.9972,0.7207,0.6988,0.7482
pageblocks,G-SMOTE,LGBM,0.875,0.18,0.9964,0.6885,0.6526,0.7472
pageblocks,G-SMOTE,MLP,0.875,4.42,0.9984,0.7946,0.7105,0.9966
pageblocks,CTGAN,RF,0.5,0.3,0.9942,0.6758,0.6241,0.8079
pageblocks,CTGAN,LGBM,0.5,0.08,0.9971,0.7645,0.6818,0.9957
pageblocks,CTGAN,MLP,0.5,3.13,0.9969,0.7712,0.7137,0.8726
pageblocks,TVAE,RF,0.5,0.36,0.9966,0.8186,0.7353,0.9972
pageblocks,TVAE,LGBM,0.5,0.16,0.9967,0.8062,0.7222,0.9969
pageblocks,TVAE,MLP,0.5,4.76,0.9959,0.7674,0.6941,0.9341
pageblocks,G-CTGAN,RF,0.5,0.33,0.9994,0.7839,0.7,0.9963
pageblocks,G-CTGAN,LGBM,0.5,0.16,0.9997,0.8062,0.7222,0.9969
pageblocks,G-CTGAN,MLP,0.5,4.67,0.9992,0.8186,0.7353,0.9972
protein_homo,,RF,0.0089,4.61,0.9952,0.9227,0.9233,0.9222
protein_homo,,LGBM,0.0089,0.59,0.9976,0.8518,0.7853,0.9609
protein_homo,,MLP,0.0089,48.21,0.9948,0.9307,0.9573,0.9071
protein_homo,SMOTE,RF,0.5,18.18,0.9951,0.8607,0.8021,0.9485
protein_homo,SMOTE,LGBM,0.5,1.26,0.996,0.8073,0.7323,0.9592
protein_homo,SMOTE,MLP,0.5,88.34,0.9935,0.9021,0.8874,0.9179
protein_homo,ADASYN,RF,0.4999,16.35,0.9937,0.721,0.649,0.9567
protein_homo,ADASYN,LGBM,0.4999,1.07,0.996,0.7238,0.6507,0.9632
protein_homo,ADASYN,MLP,0.4999,66.58,0.9945,0.921,0.9276,0.9145
protein_homo,G-SMOTE,RF,0.6667,31.61,0.9952,0.8813,0.8345,0.944
protein_homo,G-SMOTE,LGBM,0.6667,1.29,0.9957,0.831,0.7622,0.9513
protein_homo,G-SMOTE,MLP,0.6667,267.53,0.9946,0.9142,0.9152,0.9131
protein_homo,CTGAN,RF,0.5,18.73,0.9808,0.911,0.9751,0.8623
protein_homo,CTGAN,LGBM,0.5,0.92,0.9937,0.9138,0.9505,0.8827
protein_homo,CTGAN,MLP,0.5,72.42,0.9952,0.932,0.9758,0.8957
protein_homo,TVAE,RF,0.5,19.44,0.9805,0.8475,0.8144,0.8887
protein_homo,TVAE,LGBM,0.5,1.0,0.9891,0.8751,0.8585,0.8932
protein_homo,TVAE,MLP,0.5,129.49,0.9949,0.9195,0.9272,0.912
protein_homo,G-CTGAN,RF,0.5,17.71,0.9774,0.9055,0.9528,0.8673
protein_homo,G-CTGAN,LGBM,0.5,1.15,0.99,0.9134,0.9479,0.8839
protein_homo,G-CTGAN,MLP,0.5,152.43,0.9946,0.9198,0.941,0.9006
credit_default,Q-G-CTGAN_adaptive,RF,0.5,0.77,0.7648,0.6767,0.7433,0.6533
credit_default,Q-G-CTGAN_adaptive,LGBM,0.5,0.19,0.7795,0.6769,0.7523,0.6523
credit_default,Q-G-CTGAN_adaptive,MLP,0.5,57.02,0.6801,0.6175,0.637,0.6082
fraud_detection,Q-G-CTGAN_adaptive,RF,0.008,15.11,0.978,0.8985,0.892,0.9052
fraud_detection,Q-G-CTGAN_adaptive,LGBM,0.008,0.51,0.9672,0.8159,0.754,0.9182
fraud_detection,Q-G-CTGAN_adaptive,MLP,0.008,58.1,0.9517,0.9019,0.9089,0.8951
pima_diabetes,Q-G-CTGAN_adaptive,RF,0.5,0.25,0.8323,0.7488,0.7481,0.7495
pima_diabetes,Q-G-CTGAN_adaptive,LGBM,0.5,0.06,0.8267,0.7188,0.7194,0.7181
pima_diabetes,Q-G-CTGAN_adaptive,MLP,0.5,0.97,0.7981,0.7314,0.7275,0.7385
ibm_attrition,Q-G-CTGAN_adaptive,RF,0.4811,0.25,0.7748,0.5582,0.6916,0.5526
ibm_attrition,Q-G-CTGAN_adaptive,LGBM,0.4811,0.11,0.7633,0.6097,0.7101,0.5894
ibm_attrition,Q-G-CTGAN_adaptive,MLP,0.4811,0.83,0.7166,0.6759,0.6988,0.6607
yeast_me2,Q-G-CTGAN_adaptive,RF,0.1384,0.28,0.9278,0.6682,0.6808,0.6574
yeast_me2,Q-G-CTGAN_adaptive,LGBM,0.1384,0.08,0.9094,0.6157,0.6122,0.6194
yeast_me2,Q-G-CTGAN_adaptive,MLP,0.1384,1.51,0.8908,0.6112,0.5923,0.6446
mammography,Q-G-CTGAN_adaptive,RF,0.1028,0.33,0.9659,0.8391,0.7876,0.9158
mammography,Q-G-CTGAN_adaptive,LGBM,0.1028,0.09,0.9701,0.8231,0.7688,0.9083
mammography,Q-G-CTGAN_adaptive,MLP,0.1028,8.5,0.9735,0.8487,0.8184,0.8858
abalone_19,Q-G-CTGAN_adaptive,RF,0.0346,0.29,0.8243,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_adaptive,LGBM,0.0346,0.08,0.8622,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_adaptive,MLP,0.0346,2.97,0.801,0.4966,0.496,0.4972
wine_quality,Q-G-CTGAN_adaptive,RF,0.1696,0.31,0.8929,0.6629,0.6745,0.653
wine_quality,Q-G-CTGAN_adaptive,LGBM,0.1696,0.09,0.8754,0.6885,0.6705,0.7117
wine_quality,Q-G-CTGAN_adaptive,MLP,0.1696,4.28,0.8332,0.7101,0.7329,0.6919
ecoli,Q-G-CTGAN_adaptive,RF,0.3606,0.27,0.9758,0.8671,0.8835,0.8525
ecoli,Q-G-CTGAN_adaptive,LGBM,0.3606,0.03,0.9444,0.847,0.847,0.847
ecoli,Q-G-CTGAN_adaptive,MLP,0.3606,0.49,0.9101,0.8581,0.8348,0.8869
pageblocks,Q-G-CTGAN_adaptive,RF,0.0246,0.29,0.9992,0.8321,0.75,0.9976
pageblocks,Q-G-CTGAN_adaptive,LGBM,0.0246,0.15,0.9979,0.8627,0.7857,0.9982
pageblocks,Q-G-CTGAN_adaptive,MLP,0.0246,16.94,0.9976,0.803,0.733,0.9351
protein_homo,Q-G-CTGAN_adaptive,RF,0.0413,5.14,0.9937,0.9164,0.9497,0.8878
protein_homo,Q-G-CTGAN_adaptive,LGBM,0.0413,0.64,0.9963,0.8942,0.8528,0.9469
protein_homo,Q-G-CTGAN_adaptive,MLP,0.0413,26.14,0.9948,0.9329,0.9639,0.9059
