dataset,method,classifier,generation_time,train_time,n_synthetic,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc
protein_homo,ctdGAN,MLP,5988.0,58.55,100211,0.9809,0.8035,0.8208,0.766,0.9055,0.9012,0.9055
satellite,ctdGAN,RF,176.26,0.34,3625,0.9389,0.686,0.7678,0.8097,0.7381,0.6996,0.7381
satellite,ctdGAN,LGBM,176.26,0.11,3625,0.9525,0.7365,0.7934,0.8379,0.7615,0.7302,0.7615
satellite,ctdGAN,MLP,176.26,5.43,3625,0.9421,0.7081,0.8036,0.8051,0.8022,0.786,0.8022
churn,ctdGAN,RF,114.78,0.29,2510,0.9233,0.8669,0.8461,0.9485,0.7905,0.7633,0.7905
churn,ctdGAN,LGBM,114.78,0.09,2510,0.9278,0.8813,0.9032,0.9428,0.8723,0.8643,0.8723
churn,ctdGAN,MLP,114.78,4.29,2510,0.907,0.7979,0.8531,0.8858,0.8276,0.8142,0.8276
secom,ctdGAN,RF,232.16,0.35,950,0.7331,0.1594,0.483,0.4671,0.5,0.0,0.5
secom,ctdGAN,LGBM,232.16,0.5,950,0.7357,0.189,0.4818,0.467,0.4977,0.0,0.4977
secom,ctdGAN,MLP,232.16,0.74,950,0.6727,0.1399,0.5248,0.5517,0.5209,0.2511,0.5209
thyroid_sick,ctdGAN,RF,116.16,0.28,2316,0.9939,0.9342,0.8976,0.9457,0.86,0.8493,0.86
thyroid_sick,ctdGAN,LGBM,116.16,0.11,2316,0.9976,0.957,0.9433,0.9347,0.9523,0.9515,0.9523
thyroid_sick,ctdGAN,MLP,116.16,2.47,2316,0.9583,0.7069,0.8858,0.894,0.8779,0.871,0.8779
unsw_nb15,ctdGAN,RF,12481.75,10.94,120294,0.886,0.0505,0.5367,0.5262,0.5854,0.4426,0.5854
unsw_nb15,ctdGAN,LGBM,12481.75,3.41,120294,0.9146,0.134,0.5655,0.8031,0.5379,0.2762,0.5379
unsw_nb15,ctdGAN,MLP,12481.75,1123.53,120294,0.8927,0.0871,0.5359,0.7244,0.5207,0.2049,0.5207
