dataset,method,classifier,AUC,PR_AUC,F1,Precision,Recall,G_mean,Balanced_Acc,generation_time,train_time,method_group
secom,G-SMOTE,LGBM,0.7486,0.2179,0.4917,0.5671,0.5041,0.0436,0.5041,,,non_generative
secom,G-SMOTE,MLP,0.6727,0.1588,0.5588,0.5735,0.5516,0.3698,0.5516,,,non_generative
thyroid_sick,None,RF,0.9916,0.9166,0.9185,0.9046,0.9349,0.9334,0.9349,,,non_generative
thyroid_sick,None,LGBM,0.9972,0.9645,0.939,0.9559,0.926,0.9228,0.926,,,non_generative
thyroid_sick,None,MLP,0.9672,0.819,0.8652,0.8992,0.8389,0.8246,0.8389,,,non_generative
thyroid_sick,SMOTE,RF,0.9923,0.919,0.9232,0.9076,0.9417,0.9404,0.9417,,,non_generative
thyroid_sick,SMOTE,LGBM,0.9964,0.9427,0.9358,0.9135,0.9633,0.9628,0.9633,,,non_generative
thyroid_sick,SMOTE,MLP,0.9591,0.7997,0.8618,0.8806,0.8461,0.8336,0.8461,,,non_generative
thyroid_sick,ADASYN,RF,0.9923,0.9152,0.9232,0.8961,0.9555,0.9549,0.9555,,,non_generative
thyroid_sick,ADASYN,LGBM,0.9972,0.9626,0.937,0.916,0.9633,0.9629,0.9633,,,non_generative
thyroid_sick,ADASYN,MLP,0.9579,0.7959,0.8641,0.8736,0.8562,0.8459,0.8562,,,non_generative
thyroid_sick,G-SMOTE,RF,0.9874,0.9189,0.8981,0.9421,0.8654,0.8542,0.8654,,,non_generative
thyroid_sick,G-SMOTE,LGBM,0.9966,0.962,0.9437,0.9607,0.9307,0.9277,0.9307,,,non_generative
thyroid_sick,G-SMOTE,MLP,0.9634,0.7339,0.8415,0.8019,0.8985,0.8954,0.8985,,,non_generative
unsw_nb15,None,RF,0.9064,0.0996,0.5077,0.5266,0.8755,0.8748,0.8755,,,non_generative
unsw_nb15,None,LGBM,0.9183,0.1827,0.59,0.9595,0.5512,0.3199,0.5512,,,non_generative
unsw_nb15,None,MLP,0.9028,0.1097,0.5343,0.7946,0.5196,0.195,0.5196,,,non_generative
unsw_nb15,SMOTE,RF,0.9107,0.1163,0.5083,0.5269,0.8797,0.8787,0.8797,,,non_generative
unsw_nb15,SMOTE,LGBM,0.9175,0.1511,0.5221,0.5261,0.7672,0.7569,0.7672,,,non_generative
unsw_nb15,SMOTE,MLP,0.8933,0.1033,0.5068,0.5205,0.742,0.7301,0.742,,,non_generative
unsw_nb15,ADASYN,RF,0.91,0.0961,0.5081,0.527,0.8814,0.8804,0.8814,,,non_generative
unsw_nb15,ADASYN,LGBM,0.9159,0.1351,0.5207,0.5256,0.7645,0.7539,0.7645,,,non_generative
unsw_nb15,ADASYN,MLP,0.8936,0.0939,0.5085,0.5213,0.7475,0.7364,0.7475,,,non_generative
unsw_nb15,G-SMOTE,RF,0.8678,0.0481,0.5028,0.5236,0.8324,0.8321,0.8324,,,non_generative
unsw_nb15,G-SMOTE,LGBM,0.9032,0.0954,0.5067,0.525,0.8417,0.8416,0.8417,,,non_generative
unsw_nb15,G-SMOTE,MLP,0.8876,0.0959,0.5039,0.523,0.8115,0.8099,0.8115,,,non_generative
credit_default,Q-G-CTGAN,RF,0.7626,0.541,0.6786,0.7444,0.6551,0.5882,0.6551,100.604,0.66,proposed
credit_default,Q-G-CTGAN,LGBM,0.7794,0.548,0.6752,0.7494,0.651,0.5791,0.651,100.604,0.14,proposed
credit_default,Q-G-CTGAN,MLP,0.6677,0.3601,0.599,0.6187,0.5911,0.5138,0.5911,100.604,42.63,proposed
fraud_detection,Q-G-CTGAN,RF,0.9692,0.8054,0.8934,0.8764,0.9119,0.9077,0.9119,41.172,9.79,proposed
fraud_detection,Q-G-CTGAN,LGBM,0.9559,0.7336,0.8728,0.8406,0.9118,0.9076,0.9118,41.172,0.44,proposed
fraud_detection,Q-G-CTGAN,MLP,0.948,0.7872,0.9078,0.9378,0.8817,0.8737,0.8817,41.172,34.52,proposed
pima_diabetes,Q-G-CTGAN,RF,0.8218,0.7113,0.7053,0.7053,0.7053,0.6998,0.7053,13.389999999999999,0.22,proposed
pima_diabetes,Q-G-CTGAN,LGBM,0.8177,0.6916,0.7075,0.7095,0.7058,0.6986,0.7058,13.389999999999999,0.05,proposed
pima_diabetes,Q-G-CTGAN,MLP,0.7765,0.665,0.6858,0.6838,0.6886,0.6849,0.6886,13.389999999999999,0.88,proposed
ibm_attrition,Q-G-CTGAN,RF,0.7669,0.3989,0.5345,0.6435,0.5371,0.3102,0.5371,51.16000000000001,0.25,proposed
ibm_attrition,Q-G-CTGAN,LGBM,0.7642,0.4435,0.6235,0.7414,0.5992,0.4683,0.5992,51.16000000000001,0.09,proposed
ibm_attrition,Q-G-CTGAN,MLP,0.7117,0.4064,0.6478,0.6515,0.6445,0.594,0.6445,51.16000000000001,0.72,proposed
yeast_me2,Q-G-CTGAN,RF,0.9216,0.2923,0.5503,0.7342,0.5322,0.2579,0.5322,5.172000000000001,0.22,proposed
yeast_me2,Q-G-CTGAN,LGBM,0.895,0.3043,0.5967,0.7353,0.5643,0.3643,0.5643,5.172000000000001,0.06,proposed
yeast_me2,Q-G-CTGAN,MLP,0.875,0.1431,0.5663,0.5573,0.7304,0.7187,0.7304,5.172000000000001,0.93,proposed
mammography,Q-G-CTGAN,RF,0.9565,0.7357,0.8138,0.7728,0.8709,0.8633,0.8709,23.885,0.37,proposed
mammography,Q-G-CTGAN,LGBM,0.9504,0.7555,0.8308,0.7981,0.8723,0.8645,0.8723,23.885,0.09,proposed
mammography,Q-G-CTGAN,MLP,0.9627,0.7628,0.8,0.7421,0.9,0.8965,0.9,23.885,7.29,proposed
abalone_19,Q-G-CTGAN,RF,0.78,0.0257,0.498,0.496,0.5,0.0,0.5,15.578,0.25,proposed
abalone_19,Q-G-CTGAN,LGBM,0.6982,0.0532,0.498,0.496,0.5,0.0,0.5,15.578,0.07,proposed
abalone_19,Q-G-CTGAN,MLP,0.766,0.027,0.5264,0.5202,0.542,0.3137,0.542,15.578,1.88,proposed
wine_quality,Q-G-CTGAN,RF,0.8706,0.2433,0.5914,0.6246,0.5737,0.4012,0.5737,8.524,0.27,proposed
wine_quality,Q-G-CTGAN,LGBM,0.8849,0.2441,0.615,0.6566,0.5926,0.4439,0.5926,8.524,0.08,proposed
wine_quality,Q-G-CTGAN,MLP,0.8219,0.3636,0.7233,0.7391,0.7097,0.655,0.7097,8.524,5.16,proposed
ecoli,Q-G-CTGAN,RF,0.9838,0.8978,0.889,0.9281,0.8581,0.8481,0.8581,5.94,0.18,proposed
ecoli,Q-G-CTGAN,LGBM,0.9768,0.87,0.8335,0.8671,0.8071,0.7888,0.8071,5.94,0.03,proposed
ecoli,Q-G-CTGAN,MLP,0.9253,0.6423,0.7904,0.7438,0.899,0.8989,0.899,5.94,0.6,proposed
pageblocks,Q-G-CTGAN,RF,0.9982,0.6659,0.7558,0.6739,0.9954,0.9954,0.9954,15.713,0.25,proposed
pageblocks,Q-G-CTGAN,LGBM,0.9989,0.8053,0.7739,0.6905,0.996,0.996,0.996,15.713,0.07,proposed
pageblocks,Q-G-CTGAN,MLP,0.9969,0.578,0.8186,0.7353,0.9972,0.9972,0.9972,15.713,1.8,proposed
protein_homo,Q-G-CTGAN,RF,0.9834,0.8374,0.9139,0.968,0.8712,0.8617,0.8712,60.639,7.57,proposed
protein_homo,Q-G-CTGAN,LGBM,0.9947,0.885,0.9127,0.9244,0.9017,0.8964,0.9017,60.639,0.67,proposed
protein_homo,Q-G-CTGAN,MLP,0.9949,0.8868,0.9172,0.9338,0.9018,0.8965,0.9018,60.639,22.51,proposed
satellite,Q-G-CTGAN,RF,0.9437,0.6729,0.7651,0.7865,0.7475,0.715,0.7475,22.14,0.4,proposed
satellite,Q-G-CTGAN,LGBM,0.9527,0.7046,0.7935,0.827,0.7678,0.7396,0.7678,22.14,0.11,proposed
satellite,Q-G-CTGAN,MLP,0.9561,0.7401,0.8194,0.8194,0.8194,0.8064,0.8194,22.14,5.63,proposed
churn,Q-G-CTGAN,RF,0.9245,0.8745,0.8732,0.9582,0.8216,0.8026,0.8216,29.299000000000003,0.31,proposed
churn,Q-G-CTGAN,LGBM,0.9316,0.8951,0.9151,0.9559,0.8833,0.8765,0.8833,29.299000000000003,0.08,proposed
churn,Q-G-CTGAN,MLP,0.9038,0.7948,0.8506,0.8681,0.8355,0.8249,0.8355,29.299000000000003,4.62,proposed
secom,Q-G-CTGAN,RF,0.7696,0.2035,0.483,0.4671,0.5,0.0,0.5,151.01299999999998,0.32,proposed
secom,Q-G-CTGAN,LGBM,0.8005,0.2387,0.483,0.4671,0.5,0.0,0.5,151.01299999999998,0.5,proposed
secom,Q-G-CTGAN,MLP,0.6386,0.1463,0.5265,0.5594,0.522,0.2514,0.522,151.01299999999998,0.79,proposed
thyroid_sick,Q-G-CTGAN,RF,0.9943,0.9422,0.9172,0.9506,0.889,0.8826,0.889,8.885000000000002,0.26,proposed
thyroid_sick,Q-G-CTGAN,LGBM,0.998,0.97,0.946,0.946,0.946,0.9448,0.946,8.885000000000002,0.09,proposed
