dataset,oversampling,classifier,alpha_mode,alpha_value,best_k,n_candidates,n_synthetic,minority_ratio,mmd_before,mmd_after,filter_time,train_time,AUC,F1,Precision,Recall
pima_diabetes,Q-G-CTGAN_a0.2,MLP,fixed,0.2,4,935,163,0.5,0.035002,0.029022,0.1,0.95,0.7589,0.6786,0.6777,0.6796
pima_diabetes,Q-G-CTGAN_a0.3,RF,fixed,0.3,4,935,163,0.5,0.02307,0.022315,0.09,0.24,0.8271,0.7434,0.7399,0.7485
pima_diabetes,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,4,935,163,0.5,0.02307,0.022315,0.09,0.07,0.8128,0.703,0.7015,0.7048
pima_diabetes,Q-G-CTGAN_a0.3,MLP,fixed,0.3,4,935,163,0.5,0.02307,0.022315,0.09,0.96,0.7739,0.7036,0.7049,0.7025
pima_diabetes,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,4,935,163,0.5,0.048482,0.02182,0.06,0.25,0.8323,0.7488,0.7481,0.7495
pima_diabetes,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,4,935,163,0.5,0.048482,0.02182,0.06,0.06,0.8267,0.7188,0.7194,0.7181
pima_diabetes,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,4,935,163,0.5,0.048482,0.02182,0.06,0.97,0.7981,0.7314,0.7275,0.7385
ibm_attrition,Q-G-CTGAN_a0.1,RF,fixed,0.1,6,830,697,0.5,0.019356,0.018876,0.17,0.27,0.7806,0.5491,0.6927,0.5469
ibm_attrition,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,6,830,697,0.5,0.019356,0.018876,0.17,0.14,0.7641,0.6366,0.7355,0.6105
ibm_attrition,Q-G-CTGAN_a0.1,MLP,fixed,0.1,6,830,697,0.5,0.019356,0.018876,0.17,0.9,0.7392,0.6232,0.6356,0.6147
ibm_attrition,Q-G-CTGAN_a0.2,RF,fixed,0.2,6,830,664,0.4903,0.025153,0.024292,0.05,0.24,0.7741,0.5508,0.7119,0.5482
ibm_attrition,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,6,830,664,0.4903,0.025153,0.024292,0.05,0.1,0.7642,0.5982,0.6904,0.581
ibm_attrition,Q-G-CTGAN_a0.2,MLP,fixed,0.2,6,830,664,0.4903,0.025153,0.024292,0.05,0.82,0.7214,0.6456,0.6482,0.6431
ibm_attrition,Q-G-CTGAN_a0.3,RF,fixed,0.3,6,830,580,0.4636,0.021838,0.020374,0.05,0.26,0.7672,0.5545,0.6634,0.5499
ibm_attrition,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,6,830,580,0.4636,0.021838,0.020374,0.05,0.11,0.7604,0.6342,0.7257,0.6092
ibm_attrition,Q-G-CTGAN_a0.3,MLP,fixed,0.3,6,830,580,0.4636,0.021838,0.020374,0.05,1.17,0.7045,0.6575,0.655,0.6602
ibm_attrition,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,6,830,634,0.4811,0.019597,0.018501,0.05,0.25,0.7748,0.5582,0.6916,0.5526
ibm_attrition,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,6,830,634,0.4811,0.019597,0.018501,0.05,0.11,0.7633,0.6097,0.7101,0.5894
ibm_attrition,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,6,830,634,0.4811,0.019597,0.018501,0.05,0.83,0.7166,0.6759,0.6988,0.6607
yeast_me2,Q-G-CTGAN_a0.1,RF,fixed,0.1,3,175,157,0.1615,0.14741,0.156032,0.0,0.26,0.9284,0.6372,0.654,0.6241
yeast_me2,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,3,175,157,0.1615,0.14741,0.156032,0.0,0.08,0.9115,0.5944,0.6015,0.5884
yeast_me2,Q-G-CTGAN_a0.1,MLP,fixed,0.1,3,175,157,0.1615,0.14741,0.156032,0.0,1.51,0.8056,0.5877,0.574,0.6113
yeast_me2,Q-G-CTGAN_a0.2,RF,fixed,0.2,3,175,140,0.1494,0.147292,0.161757,0.0,0.26,0.9265,0.697,0.7039,0.6907
yeast_me2,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,3,175,140,0.1494,0.147292,0.161757,0.0,0.09,0.908,0.6206,0.6206,0.6206
yeast_me2,Q-G-CTGAN_a0.2,MLP,fixed,0.2,3,175,140,0.1494,0.147292,0.161757,0.0,1.51,0.8693,0.6701,0.6345,0.7435
yeast_me2,Q-G-CTGAN_a0.3,RF,fixed,0.3,3,175,122,0.1362,0.044081,0.038069,0.0,0.27,0.9259,0.6551,0.6551,0.6551
yeast_me2,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,3,175,122,0.1362,0.044081,0.038069,0.0,0.09,0.9101,0.611,0.6048,0.6183
yeast_me2,Q-G-CTGAN_a0.3,MLP,fixed,0.3,3,175,122,0.1362,0.044081,0.038069,0.0,1.51,0.9013,0.5936,0.5742,0.6388
yeast_me2,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,3,175,125,0.1384,0.135636,0.164159,0.0,0.28,0.9278,0.6682,0.6808,0.6574
yeast_me2,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,3,175,125,0.1384,0.135636,0.164159,0.0,0.08,0.9094,0.6157,0.6122,0.6194
yeast_me2,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,3,175,125,0.1384,0.135636,0.164159,0.0,1.51,0.8908,0.6112,0.5923,0.6446
mammography,Q-G-CTGAN_a0.1,RF,fixed,0.1,9,910,818,0.1157,0.015866,0.015677,0.02,0.34,0.9637,0.8193,0.7776,0.8774
mammography,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,9,910,818,0.1157,0.015866,0.015677,0.02,0.1,0.9744,0.8338,0.7831,0.9092
mammography,Q-G-CTGAN_a0.1,MLP,fixed,0.1,9,910,818,0.1157,0.015866,0.015677,0.02,6.28,0.9576,0.8006,0.7633,0.8515
mammography,Q-G-CTGAN_a0.2,RF,fixed,0.2,9,910,728,0.1064,0.011914,0.009828,0.01,0.33,0.9672,0.8231,0.7768,0.89
mammography,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,9,910,728,0.1064,0.011914,0.009828,0.01,0.09,0.9705,0.8128,0.758,0.9013
mammography,Q-G-CTGAN_a0.2,MLP,fixed,0.2,9,910,728,0.1064,0.011914,0.009828,0.01,8.01,0.9611,0.786,0.7486,0.8381
mammography,Q-G-CTGAN_a0.3,RF,fixed,0.3,9,910,636,0.0966,0.017386,0.012616,0.01,0.33,0.9649,0.8231,0.7768,0.89
mammography,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,9,910,636,0.0966,0.017386,0.012616,0.01,0.09,0.9643,0.8231,0.7664,0.9144
mammography,Q-G-CTGAN_a0.3,MLP,fixed,0.3,9,910,636,0.0966,0.017386,0.012616,0.01,7.47,0.9655,0.827,0.8,0.8597
mammography,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,9,910,694,0.1028,0.002302,0.002879,0.01,0.33,0.9659,0.8391,0.7876,0.9158
mammography,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,9,910,694,0.1028,0.002302,0.002879,0.01,0.09,0.9701,0.8231,0.7688,0.9083
mammography,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,9,910,694,0.1028,0.002302,0.002879,0.01,8.5,0.9735,0.8487,0.8184,0.8858
abalone_19,Q-G-CTGAN_a0.1,RF,fixed,0.1,5,110,98,0.0397,0.011504,0.012045,0.01,0.3,0.851,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,5,110,98,0.0397,0.011504,0.012045,0.01,0.08,0.822,0.4964,0.496,0.4968
abalone_19,Q-G-CTGAN_a0.1,MLP,fixed,0.1,5,110,98,0.0397,0.011504,0.012045,0.01,4.12,0.8347,0.4966,0.496,0.4972
abalone_19,Q-G-CTGAN_a0.2,RF,fixed,0.2,5,110,88,0.0365,0.010469,0.01113,0.0,0.28,0.7881,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,5,110,88,0.0365,0.010469,0.01113,0.0,0.08,0.7606,0.4974,0.496,0.4988
abalone_19,Q-G-CTGAN_a0.2,MLP,fixed,0.2,5,110,88,0.0365,0.010469,0.01113,0.0,8.38,0.7864,0.4954,0.496,0.4948
abalone_19,Q-G-CTGAN_a0.3,RF,fixed,0.3,5,110,76,0.0327,0.006247,0.005041,0.01,0.29,0.8134,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,5,110,76,0.0327,0.006247,0.005041,0.01,0.08,0.8103,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_a0.3,MLP,fixed,0.3,5,110,76,0.0327,0.006247,0.005041,0.01,3.2,0.8387,0.4966,0.496,0.4972
abalone_19,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,5,110,82,0.0346,0.006683,0.006961,0.01,0.29,0.8243,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,5,110,82,0.0346,0.006683,0.006961,0.01,0.08,0.8622,0.498,0.496,0.5
abalone_19,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,5,110,82,0.0346,0.006683,0.006961,0.01,2.97,0.801,0.4966,0.496,0.4972
wine_quality,Q-G-CTGAN_a0.1,RF,fixed,0.1,2,640,576,0.1758,0.080964,0.087838,0.01,0.29,0.8888,0.6184,0.6681,0.5933
wine_quality,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,2,640,576,0.1758,0.080964,0.087838,0.01,0.09,0.8843,0.6473,0.6448,0.6499
wine_quality,Q-G-CTGAN_a0.1,MLP,fixed,0.1,2,640,576,0.1758,0.080964,0.087838,0.01,1.36,0.8611,0.672,0.7289,0.6394
wine_quality,Q-G-CTGAN_a0.2,RF,fixed,0.2,2,640,512,0.1624,0.115567,0.135425,0.01,0.29,0.9015,0.6426,0.7021,0.6122
wine_quality,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,2,640,512,0.1624,0.115567,0.135425,0.01,0.09,0.8958,0.703,0.6996,0.7065
wine_quality,Q-G-CTGAN_a0.2,MLP,fixed,0.2,2,640,512,0.1624,0.115567,0.135425,0.01,21.29,0.8065,0.718,0.7388,0.701
wine_quality,Q-G-CTGAN_a0.3,RF,fixed,0.3,2,640,448,0.1486,0.093302,0.117459,0.01,0.29,0.9043,0.7045,0.7669,0.6674
wine_quality,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,2,640,448,0.1486,0.093302,0.117459,0.01,0.09,0.8799,0.7116,0.7155,0.7079
wine_quality,Q-G-CTGAN_a0.3,MLP,fixed,0.3,2,640,448,0.1486,0.093302,0.117459,0.01,5.01,0.8231,0.758,0.7705,0.7468
wine_quality,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,2,640,546,0.1696,0.089733,0.102843,0.01,0.31,0.8929,0.6629,0.6745,0.653
wine_quality,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,2,640,546,0.1696,0.089733,0.102843,0.01,0.09,0.8754,0.6885,0.6705,0.7117
wine_quality,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,2,640,546,0.1696,0.089733,0.102843,0.01,4.28,0.8332,0.7101,0.7329,0.6919
ecoli,Q-G-CTGAN_a0.1,RF,fixed,0.1,3,115,103,0.3757,0.043914,0.046553,0.0,0.24,0.9768,0.8671,0.8835,0.8525
ecoli,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,3,115,103,0.3757,0.043914,0.046553,0.0,0.04,0.9657,0.814,0.828,0.8015
ecoli,Q-G-CTGAN_a0.1,MLP,fixed,0.1,3,115,103,0.3757,0.043914,0.046553,0.0,0.5,0.9232,0.8859,0.8514,0.9323
ecoli,Q-G-CTGAN_a0.2,RF,fixed,0.2,3,115,92,0.3547,0.039227,0.036967,0.0,0.34,0.9838,0.8671,0.8835,0.8525
ecoli,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,3,115,92,0.3547,0.039227,0.036967,0.0,0.03,0.9545,0.814,0.828,0.8015
ecoli,Q-G-CTGAN_a0.2,MLP,fixed,0.2,3,115,92,0.3547,0.039227,0.036967,0.0,0.49,0.9333,0.8402,0.8099,0.8813
ecoli,Q-G-CTGAN_a0.3,RF,fixed,0.3,3,115,80,0.3302,0.138253,0.118484,0.0,0.26,0.9677,0.8671,0.8835,0.8525
ecoli,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,3,115,80,0.3302,0.138253,0.118484,0.0,0.04,0.9556,0.847,0.847,0.847
ecoli,Q-G-CTGAN_a0.3,MLP,fixed,0.3,3,115,80,0.3302,0.138253,0.118484,0.0,0.48,0.9152,0.847,0.847,0.847
ecoli,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,3,115,95,0.3606,0.027441,0.03506,0.0,0.27,0.9758,0.8671,0.8835,0.8525
ecoli,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,3,115,95,0.3606,0.027441,0.03506,0.0,0.03,0.9444,0.847,0.847,0.847
ecoli,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,3,115,95,0.3606,0.027441,0.03506,0.0,0.49,0.9101,0.8581,0.8348,0.8869
pageblocks,Q-G-CTGAN_a0.1,RF,fixed,0.1,5,100,89,0.0278,0.004767,0.005378,0.0,0.3,0.9992,0.7839,0.7,0.9963
pageblocks,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,5,100,89,0.0278,0.004767,0.005378,0.0,0.07,0.999,0.7839,0.7,0.9963
pageblocks,Q-G-CTGAN_a0.1,MLP,fixed,0.1,5,100,89,0.0278,0.004767,0.005378,0.0,0.98,0.997,0.8186,0.7353,0.9972
pageblocks,Q-G-CTGAN_a0.2,RF,fixed,0.2,5,100,80,0.0256,0.007768,0.009617,0.0,0.31,0.9987,0.7839,0.7,0.9963
pageblocks,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,5,100,80,0.0256,0.007768,0.009617,0.0,0.07,0.9979,0.7839,0.7,0.9963
pageblocks,Q-G-CTGAN_a0.2,MLP,fixed,0.2,5,100,80,0.0256,0.007768,0.009617,0.0,1.16,0.9965,0.7946,0.7105,0.9966
pageblocks,Q-G-CTGAN_a0.3,RF,fixed,0.3,5,100,69,0.0228,0.009185,0.008709,0.0,0.29,0.9987,0.7839,0.7,0.9963
pageblocks,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,5,100,69,0.0228,0.009185,0.008709,0.0,0.05,0.9989,0.8186,0.7353,0.9972
pageblocks,Q-G-CTGAN_a0.3,MLP,fixed,0.3,5,100,69,0.0228,0.009185,0.008709,0.0,0.99,0.9963,0.7783,0.7056,0.9344
pageblocks,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,5,100,76,0.0246,0.010103,0.005595,0.01,0.29,0.9992,0.8321,0.75,0.9976
pageblocks,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,5,100,76,0.0246,0.010103,0.005595,0.01,0.15,0.9979,0.8627,0.7857,0.9982
pageblocks,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,5,100,76,0.0246,0.010103,0.005595,0.01,16.94,0.9976,0.803,0.733,0.9351
protein_homo,Q-G-CTGAN_a0.1,RF,fixed,0.1,2,4535,4081,0.047,0.094536,0.091215,0.08,5.17,0.9938,0.9205,0.9647,0.8841
protein_homo,Q-G-CTGAN_a0.1,LGBM,fixed,0.1,2,4535,4081,0.047,0.094536,0.091215,0.08,0.62,0.9964,0.8971,0.8616,0.9406
protein_homo,Q-G-CTGAN_a0.1,MLP,fixed,0.1,2,4535,4081,0.047,0.094536,0.091215,0.08,54.79,0.9948,0.9251,0.9389,0.9121
protein_homo,Q-G-CTGAN_a0.2,RF,fixed,0.2,2,4535,3628,0.0429,0.088992,0.086702,0.08,5.4,0.9942,0.9173,0.9588,0.8827
protein_homo,Q-G-CTGAN_a0.2,LGBM,fixed,0.2,2,4535,3628,0.0429,0.088992,0.086702,0.08,0.7,0.9962,0.8912,0.8504,0.943
protein_homo,Q-G-CTGAN_a0.2,MLP,fixed,0.2,2,4535,3628,0.0429,0.088992,0.086702,0.08,21.57,0.9963,0.9293,0.9558,0.9058
protein_homo,Q-G-CTGAN_a0.3,RF,fixed,0.3,2,4535,3174,0.0388,0.10488,0.102206,0.08,5.41,0.9945,0.923,0.9598,0.8917
protein_homo,Q-G-CTGAN_a0.3,LGBM,fixed,0.3,2,4535,3174,0.0388,0.10488,0.102206,0.08,0.63,0.9967,0.8916,0.8542,0.938
protein_homo,Q-G-CTGAN_a0.3,MLP,fixed,0.3,2,4535,3174,0.0388,0.10488,0.102206,0.08,25.61,0.9953,0.932,0.9493,0.916
protein_homo,Q-G-CTGAN_adaptive,RF,adaptive,adaptive,2,4535,3454,0.0413,0.085424,0.078795,0.09,5.14,0.9937,0.9164,0.9497,0.8878
protein_homo,Q-G-CTGAN_adaptive,LGBM,adaptive,adaptive,2,4535,3454,0.0413,0.085424,0.078795,0.09,0.64,0.9963,0.8942,0.8528,0.9469
protein_homo,Q-G-CTGAN_adaptive,MLP,adaptive,adaptive,2,4535,3454,0.0413,0.085424,0.078795,0.09,26.14,0.9948,0.9329,0.9639,0.9059
